,level_0,confidence,evaluation,id,lan,orientation,remarks,text,timespan,length,new_text,Lemma_text,Lemma_length
87,34,4,2,2,es,1,,"Presenta un trabajo de gran relevancia para la ciencia en Chile, mencionando elementos muy necesarios para el desarrollo de las comunicaciones de alto desempeño en los polos tecnológicos y de investigación  Podría profundizar en una breve descripción técnica de la tecnología que se menciona en el paper, dado que el trabajo no es autocontenido.",2010-07-05,345,presenta relevancia ciencia chile mencionando elementos necesarios desarrollo comunicaciones alto desempeño polos tecnológicos y investigación profundizar descripción técnica tecnología menciona paper autocontenido,presentar relevancia ciencia chile mencionar elemento necesario desarrollo comunicación alto desempeño po él tecnológico y investigación profundizar descripción técnico tecnologío mencionar paper autocontenido,209
88,34,4,2,3,es,1,,Es un proyecto de alta envergadura que necesita ser conocido por la comunidad académica  Colocará en la presentación los valores del proyecto,2010-07-05,141,proyecto alta envergadura necesita conocido comunidad académica colocará presentación valores proyecto,proyecto alto envergadura necesitar conocido comunidad académico colocar presentación valor proyecto,100
89,35,4,1,1,es,0,,"El artículo lleva a cabo una comparación de performance para implementaciones basadas en GPU y en CPU para el mismo algoritmo. La programación de GPUs es un tema muy actual en HPC.  Existen problemas en la presentación del artículo y las imágenes no están bien contextualizadas.  Implementaciones y comparaciones de performance entre GPU y CPU son un tema ya abordado en trabajos existentes.  El artículo describe en forma relativamente específica la implementación y sus detalles, en conjunto con los problemas encontrados.  El tema de programación GPU es un tema muy actual en computación de alto rendimiento y su comparación con programación basada en CPU me parece relevante.  Sería recomendable mejorar el orden del artículo, relacionando de mejor manera las imágenes y tablas. Existen faltas de ortografía evidentes dentro del contenido del trabajo.",2010-07-05,855,artículo cabo comparación performance implementaciones basadas gpu y cpu algoritmo programación gpus tema actual hpc problemas presentación artículo y imágenes contextualizadas implementaciones y comparaciones performance gpu y cpu tema abordado trabajos existentes artículo describe forma relativamente específica implementación y detalles conjunto problemas encontrados tema programación gpu tema actual computación alto rendimiento y comparación programación basada cpu relevante recomendable mejorar orden artículo relacionando imágenes y tablas faltas ortografía evidentes contenido,artículo cabo comparación performance implementación basado gpu y cpu algoritmo programación gpus tema actual hpc problema presentación artículo y imagen contextualizada implementación y comparación performance gpu y cpu tema abordado trabajo existente artículo describir forma relativamente específico implementación y detalle conjunto problema encontrado tema programación gpu tema actual computación alto rendimiento y comparación programación basado cpu relevante recomendable mejorar orden artículo relacionar imagen y tabla falta ortografío evidente contenido,565
90,35,1,0,2,es,-1,,"El manuscrito involucra el uso de GPU, tecnología que desde hace un par de años cada vez tiene más que decir en el área de HPC. El documento tiene estructura relativamente buena, se realizan comparaciones y hay algunos gráficos interesantes.  El documento tiene algunas falencias que lo hacen confuso, por ejemplo, la pagina 7 es un completo desorden, la Figura 7 no está bien explicada, las tablas se tratan como figuras, hay diferencia entre lo que representa una imagen y un gráfico, por lo cual deben ser tratadas de forma independientes. Hay un texto que explica la Figura 6, que por cierto es una tabla, ese texto no es parte del cuerpo del paper, o si?, es muy difícil leer esa página. Yo no soy experto en el algoritmo SIFT, por lo cual al leer el paper no me queda claro si usaron el código SiftGPU creado por Changchang Wu o lo tomaron como base y le aplicaron unas modificaciones.  Por otro lado, hubiera sido interesante saber por qué la implementación en CUDA, la implementación en multicore y la serial podrían arrojar resultados diferentes, si al fin y al cabo los tres enfoques son el algoritmo SIFT. Hace más de 12 años que programo aplicaciones paralelas y para un mismo algoritmo nunca que observado resultados diferentes, si al fin y al cabo el algoritmo es el mismo, ahora, cuando se introducen variantes al algoritmo original con el fin de forzar el paralelismo, se tienen resultados diferentes, pero ya deja de ser el algoritmo original.  Leyendo otros papers sobre el tema, no encuentro tanta originalidad, el documento tampoco ayuda mucho para sacar conclusiones.  El paper tiene datos de corridas y compara distintos enfoques, pero me queda la gran duda del por qué un mismo algoritmo con un enfoque secuencial y otro paralelo con GPU puedan arrojar resultados distintos.  GPU es un asunto que tiene sus gracias, sobre todo por el ahorro en dinero que implica su uso en el largo plazo, por lo podría ser bueno divulgar este trabajo para divulgar esta tecnología.  El documento esta desordenado, falta diferenciar lo que es una figura, de un gráfico y de una tabla, además la pagina 7 es muy difícil de leer y la explicación de las tablas de datos se confunde con el cuerpo del paper.",2010-07-05,2209,manuscrito involucra gpu tecnología par años área hpc documento estructura relativamente realizan comparaciones y gráficos interesantes documento falencias confuso pagina completo desorden figura explicada tablas tratan figuras diferencia representa imagen y gráfico tratadas forma independientes texto explica figura tabla texto cuerpo paper difícil leer página experto algoritmo sift leer paper queda usaron código siftgpu creado changchang wu tomaron base y aplicaron modificaciones hubiera interesante implementación cuda implementación multicore y serial arrojar resultados y cabo enfoques algoritmo sift años programo aplicaciones paralelas y algoritmo observado resultados y cabo algoritmo introducen variantes algoritmo original forzar paralelismo resultados deja algoritmo original leyendo papers tema encuentro tanta originalidad documento ayuda sacar conclusiones paper datos corridas y compara distintos enfoques queda duda algoritmo enfoque secuencial y paralelo gpu puedan arrojar resultados distintos gpu asunto gracias ahorro dinero implica plazo divulgar divulgar tecnología documento desordenado falta diferenciar figura gráfico y tabla pagina difícil leer y explicación tablas datos confunde cuerpo paper,manuscrito involucra gpu tecnología par año área hpc documento estructura relativamente realizar comparación y gráfico interesante documento falencia confuso pagina completo desordir figura explicado tabla tratar figura diferencio representar imagen y gráfico tratado forma independiente texto explicar figura tabla texto cuerpo paper difícil leer página experto algoritmo sift leer paper quedar usar código siftgpu creado changchang wu tomar base y aplicar modificación haber interesante implementación cudo implementación multicore y serial arrojar resultado y cabo enfoque algoritmo sift año programar aplicación paralelo y algoritmo observado resultado y cabo algoritmo introducir variante algoritmo original forzar paralelismo resultado dejar algoritmo original leer paper tema encontrar tanto originalidad documento ayudar sacar conclusión paper dato corrida y compar distinto enfoque quedar duda algoritmo enfoque secuencial y paralelo gpu poder arrojar resultado distinto gpu asunto gracias ahorro dinero implicar plazo divulgar divulgar tecnología documento desordenado faltar diferenciar figura gráfico y tabla pagín difícil leer y explicación tabla dato confundir cuerpo paper,1187
91,36,4,0,1,es,-1,,"El artículo propone en forma general una arquitectura basada en la  plataforma Windows Azure para desarrollar aplicaciones para Cloud Computing, el cual es un paradigma muy actual en las tecnologías de la computación.  Se apreciaría algunos indicadores o comparaciones de porqué usar Windows Azure y no otras plataformas para aplicaciones en Cloud Computing.  El uso de Windows Azure para el desarrollo de una aplicación para Cloud Computing no me parece muy original y la arquitectura planteada se basa en MVC, el cual es ampliamente usado en el área de desarrollo de aplicaciones.  El artículo describe en forma muy general los conceptos de Cloud Computing, MVC, Web Services y REST.  El tema de Cloud Computing es un paradigma actual de la computación, y desde ese punto de vista, el artículo es relevante.  Se apreciaría definir los acrónimos al menos una vez, definir si se hablará de ""la cloud"" o ""el cloud"", referencias en la sección de ""Arquitectura Propuesta"" y algunas figuras que mostraran la arquitectura propuesta.",2010-07-05,1027,artículo propone forma arquitectura basada plataforma windows azure desarrollar aplicaciones cloud computing paradigma actual tecnologías computación apreciaría indicadores comparaciones porqué windows azure y plataformas aplicaciones cloud computing windows azure desarrollo aplicación cloud computing original y arquitectura planteada basa mvc ampliamente usado área desarrollo aplicaciones artículo describe forma conceptos cloud computing mvc web services y rest tema cloud computing paradigma actual computación y punto vista artículo relevante apreciaría definir acrónimos definir hablará cloud cloud referencias sección arquitectura propuesta y figuras mostraran arquitectura propuesta,artículo proponer forma arquitectura basado plataforma windows azure desarrollar aplicación cloud computing paradigma actual tecnología computación apreciar indicador comparación porqué windows azure y plataforma aplicación cloud computing windows azure desarrollo aplicación cloud computing original y arquitectura planteado basa mvc ampliamente usado área desarrollo aplicación artículo describir forma concepto cloud computing mvc web serviz y rest tema cloud computing paradigma actual computación y punto visto artículo relevante apreciar definir acrónir definir hablar cloud cloud referencia sección arquitecturo propuesto y figura mostrar arquitectura propuesto,668
92,36,,-1,2,es,-1,,"- Descripción de los componentes de la plataforma de cloud computing Windows Azure. - Sucinta descripción del concepto de cloud computing.   - Falta discusión respecto de las posibles desventajas o escenarios adversos de una ""implementación en la nube"" - El resumen habla de ""...detallar la experiencia en la construcción de una plataforma para construir cloud públicas y abiertas"", pero sólo se limita a la descripción de la plataforma Azure. - Poquísima profundidad en la descripción de la aplicación que se montó en la plataforma cloud. Dado el título y resumen, se espera más análisis en términos de las ventajas y desventajas del desarrollo usando esta plataforma. - Problemas de redacción al interior del mismo trabajo. - Ciertas secciones parecen más un ""brochure"" comercial que un trabajo académico.",2010-07-05,807,descripción componentes plataforma cloud computing windows azure sucinta descripción concepto cloud computing falta discusión posibles desventajas escenarios adversos implementación nube resumen detallar experiencia construcción plataforma construir cloud públicas y abiertas limita descripción plataforma azure poquísima profundidad descripción aplicación montó plataforma cloud título y resumen espera análisis términos ventajas y desventajas desarrollo usando plataforma problemas redacción interior secciones parecen brochure comercial académico,descripción componente plataformar cloud computing windows azure sucinto descripción concepto cloud computing faltar discusión posible desventaja escenario adverso implementación nube resumen detallar experiencia construcción plataformar construir cloud público y abierto limito descripción plataformar azure poquísimo profundidad descripción aplicación montar plataforma cloud título y resumen esperar análisis término ventaja y desventaja desarrollo usar plataforma problema redacción interior sección parecer brochure comercial académico,540
93,36,,-1,3,es,-1,,"El paper tiene una estructura relativamente coherente, introduce una serie de conceptos que para alguien que desconoce el tema podría ser útil, habla sobre patrones arquitectónicos y describe windows azure  Para alguien que conoce el tema resulta tedioso leer definiciones ya conocidas, por otro lado, el título del paper no es coherente con lo escrito en el manuscrito, de hecho a ratos me daba la sensación de estar leyendo un folleto comercial más que un trabajo científico, cloud computing y sobre todo sus implementaciones, como por ejemplo windows azure tienen ventajas y desventajas, por mencionar algunas desventajas: la pérdida de control, desempeño, privacidad, en latino américa todos los países tienen serios problemas de ancho de banda, por lo cual cloud computing puede constituir un riesgo más que un beneficio sino se mejora un aspecto básico, mejorar las redes de datos. Creo que el caso práctico debió explicarse más, ya que es la esencia que evidencia si cloud computing es útil o simplemente es otro buzzword que nos quiere vender el área comercial de las empresas TI. El paper se limita principalmente a explicar conceptos y bondades más que mostrar los beneficios y cualidades mediante un ejemplo o caso práctico.  El caso práctico no está detallado y el desarrollo de aplicaciones no es visto desde un punto de vista crítico, solo se mencionan aspectos positivos y no los negativos.  Aunque cloud es un término actual, después de participar en varios congresos de grid computing y sistemas colaborativos, no tengo claro aún si cloud es un buzzword del área comercial o si realmente tiene algo nuevo que no tenían los conceptos que se acuñaron antes, aunque falto una visión critica y objetiva de la temática, en partes parece un folleto comercial, creo que se puede generar una discusión abierta del tema para ayudar a responder las dudas que existen entorno al termino de cloud computing.  El paper tiene errores de redacción en el resumen, sin embargo, tiene coherencia y una evolución del tema, aunque el tema en que evoluciona no es alineado con el título del documento.",2010-07-05,2097,paper estructura relativamente coherente introduce serie conceptos alguien desconoce tema útil patrones arquitectónicos y describe windows azure alguien conoce tema resulta tedioso leer definiciones conocidas título paper coherente escrito manuscrito ratos daba sensación leyendo folleto comercial científico cloud computing y implementaciones windows azure ventajas y desventajas mencionar desventajas pérdida control desempeño privacidad latino américa países serios problemas ancho banda cloud computing constituir riesgo beneficio mejora aspecto básico mejorar redes datos caso práctico debió explicarse esencia evidencia cloud computing útil simplemente buzzword vender área comercial empresas paper limita explicar conceptos y bondades mostrar beneficios y cualidades caso práctico caso práctico detallado y desarrollo aplicaciones visto punto vista crítico mencionan aspectos positivos y negativos cloud término actual participar congresos grid computing y sistemas colaborativos cloud buzzword área comercial realmente tenían conceptos acuñaron falto visión critica y objetiva temática partes folleto comercial generar discusión abierta tema ayudar responder dudas entorno termino cloud computing paper errores redacción resumen coherencia y evolución tema tema evoluciona alineado título documento,paper estructura relativamente coherente introducir serie concepto alguien desconocer tema útil patrón arquitectónico y describir windows azure alguien conocer tema resultar tedioso leer definición conocido título paper coherente escrito manuscrito rato dar sensación leer folleto comercial científico cloud computing y implementación windows azure ventaja y desventaja mencionar desventaja pérdido control desempeño privacidad latino américo país serio problema ancho banda cloud computing constituir riesgo beneficio mejorar aspecto básico mejorar red dato caso práctico deber explicar él esencio evidenciar cloud computing útil simplemente buzzword vender área comercial empresa paper limitar explicar concepto y bondad mostrar beneficio y cualidad caso práctico caso práctico detallado y desarrollo aplicación visto punto visto crítico mencionar aspecto positivo y negativo cloud término actual participar congreso grid computing y sistema colaborativo cloud buzzword área comercial realmente tener concepto acuñar falto visión criticar y objetivo temático parte folleto comercial generar discusión abierto tema ayudar responder duda entorno termino cloud computing paper error redacción resumir coherencia y evolución tema tema evolucionar alineado título documento,1270
95,37,4,2,2,es,1,,"Este trabajo muestra un enfoque de segmentación de imágenes de tejido mamario para la clasificación binaria de pixels de una imagen mediante SVM, para determinar la presencia o ausencia de la tinción de las membranas de las células cancerígenas Este trabajo es interesante y valorable, debido a la dificultad de la obtención de este tipo de imágenes y por el enfoque interdisciplinario, presentando además un interesante trabajo futuro. Se encuentra bien escrito y los resultados mostrados aunque parciales parecen correctos y justificados.  Verificar redacción y tipografía de la página 4 en sus párrafos primero y penúltimo. La principal debilidad de este trabajo puede ser la baja cantidad de imágenes de prueba y la falta de comparación con otros métodos. También sería deseable mostrar resultados generales de la clasificación y no sólo del proceso de validación. Además, las propiedades explicadas en  la tabla de puntaje (completitud e intensidad) no son utilizadas directamente en el proceso de clasificación.",2010-07-05,1017,muestra enfoque segmentación imágenes tejido mamario clasificación binaria pixels imagen svm determinar presencia ausencia tinción membranas células cancerígenas interesante y valorable dificultad obtención tipo imágenes y enfoque interdisciplinario presentando interesante futuro escrito y resultados mostrados parciales parecen correctos y justificados verificar redacción y tipografía página párrafos y penúltimo principal debilidad baja cantidad imágenes prueba y falta comparación métodos deseable mostrar resultados generales clasificación y proceso validación propiedades explicadas tabla puntaje completitud e intensidad utilizadas directamente proceso clasificación,mostrar enfocar segmentación imagen tejido mamario clasificación binario pixels imagen svm determinar presencia ausencio tinción membrana célula cancerígeno interesante y valorable dificultad obtención tipo imagen y enfoque interdisciplinario presentar interesante futuro escrito y resultado mostrado parcial parecer correcto y justificado verificar redacción y tipografía págín párrafo y penúltimo principal debilidad bajo cantidad imágén pruebir y faltar comparación método deseable mostrar resultado general clasificación y proceso validación propiedad explicada tabla puntaje completitud e intensidad utilizado directamente proceso clasificación,649
97,38,3,1,1,es,0,,"El artículo presentado, describe  cómo modelar un sistema multiagente de acuerdo a la metodología orientada a agentes “GAIA” para modelar la trazabilidad de requisitos.  La propuesta de GAIA  para modelar la trazabilidad de los requisitos mediante Sistemas multiagente parece ser novedosa.  La presentación del artículo es bastante confusa, el documento presenta algunos errores ortográficos, de redacción y  de estructuración, se referencia a tablas que son figuras, se presentan tablas no referenciadas, no existe la figura 6, el ítem “resultados” debe ser cambiado o descrito en otro lugar del documento. Conclusiones insuficientes.",2010-07-05,635,artículo presentado describe modelar sistema multiagente metodología orientada agentes “gaia” modelar trazabilidad requisitos propuesta gaia modelar trazabilidad requisitos sistemas multiagente novedosa presentación artículo confusa documento presenta errores ortográficos redacción y estructuración referencia tablas figuras presentan tablas referenciadas figura ítem “resultados” cambiado descrito documento conclusiones insuficientes,artículo presentado describe modelar sistema multiagente metodología orientado agente “ gaia ” modelar trazabilidad requisito propuesto gaio modelar trazabilidad requisito sistema multiagente novedoso presentación artículo confuso documento presentar error ortográfico redacción y estructuración referencia tabla figura presentar tabla referenciada figura ítem “ resultado ” cambiado descrito documento conclusión insuficiente,426
98,38,4,-1,2,es,-1,,"- El artículo describe varios enfoques para elaborar requisitos, y aplica uno de ellos (GAIA) a la construcción de sistemas multi-agentes (MAS).  - La Introducción es larguísima y cubre muchos temas; debería ser dividida en varias secciones, y dejar en Introducción sólo el contexto general y descripción del resto del artículo. - No hay un ejemplo para ilustrar la técnica, que es descrita en 1,5 páginas, siendo lo esencial de la contribución. - No hay validación de tipo alguno.",2010-07-05,481,artículo describe enfoques elaborar requisitos y aplica gaia construcción sistemas multiagentes introducción larguísima y cubre temas debería dividida secciones y dejar introducción contexto y descripción resto artículo ilustrar técnica descrita páginas esencial contribución validación tipo,artículo describir enfoque elaborar requisito y aplicar gaia construcción sistema multiagent introducción larguísimo y cubrir tema deber dividido sección y dejar introducción contexto y descripción resto artículir ilustrar técnica descrito página esencial contribución validación tipo,284
99,38,3,1,3,es,0,,"Se propone la utilización de la metodología GAIA para la trazabilidad a los requisitos, el enfoque propuesto se basa en la capacidad social de los agentes para procesar conocimiento, percibir los cambios del entorno y comunicación. Se trata de una tarea compleja, pues en el desarrollo de software se emplean gran variedad de modelos y diagramas que facilitan la representación de del conocimiento, estos artefactos se modifican en el tiempo. Estos cambios vienen principalmente desde el usuario.  Se requiere profundizar en la aplicación práctica de la propuesta para evaluar de mejor manera el aporte científico y práctico.",2010-07-05,625,propone utilización metodología gaia trazabilidad requisitos enfoque propuesto basa capacidad social agentes procesar conocimiento percibir cambios entorno y comunicación tarea compleja desarrollo software variedad modelos y diagramas facilitan representación conocimiento artefactos modifican cambios vienen usuario requiere profundizar aplicación práctica propuesta evaluar aporte científico y práctico,proponer utilización metodologío gaia  trazabilidad requisito enfoque propuesto bás capacidad social agent procesar conocimiento percibir cambio entorno y comunicación tarea complejo desarrollo software variedad modelo y diagrama facilitar representación conocimiento artefacto modificar cambio venir usuario requerir profundizar aplicación práctico propuesta evaluar aporte científico y práctico,396
100,39,3,2,1,es,1,"Pienso que se trata de un tema atractivo, que debe ser incentivado de forma de fomentar soluciones tecnológicas que resuelvan problemas reales. Hay debilidades en la presentación del artículo que son corregibles.","Resulta interesante el desarrollo de un web framework para la gestión de cámaras IP. Un tema que es, para mí, novedoso y que puede ser extendido en su utilidad.  Hay problemas de redacción y presentación (por ejemplo, ""cuenta con una cámara IP las cuales pueden ...""). Además, queda poco claro si se han desarrollado aplicaciones sobre el framework y si estas tienen un funcionamiento adecuado.",2010-07-05,394,resulta interesante desarrollo web framework gestión cámaras ip tema novedoso y extendido utilidad problemas redacción y presentación cámara ip queda desarrollado aplicaciones framework y funcionamiento adecuado,resultar interesante desarrollo web framework gestión cámara ip tema novedoso y extendido utilidad problema redacción y presentación cámar ip queda desarrollado aplicación framework y funcionamiento adecuado,207
101,39,4,2,2,es,-1,Se requiere que muestre más resultados sobre el consumo efectivo de ancho de banda en la troncal hacia el servidor. Es necesario mejorar el escrito.,Muestra una mezcla de tecnologías web para su desarrollo e implementa una solución nativa.  No muestra cuanto ancho de banda se consume en las troncales por la aplicación cuando están las cámaras funcionando todas juntas. Necesita mostrar más resultados.,2010-07-05,254,muestra mezcla tecnologías web desarrollo e implementa solución nativa muestra ancho banda consume troncales aplicación cámaras funcionando juntas necesita mostrar resultados,mostrar mezcla tecnología web desarrollo e implemento solución nativo mostrar ancho banda consumir troncal aplicación cámara funcionar junto necesitar mostrar resultado,168
102,39,2,0,3,es,0,,"El trabajo presenta el desarrollo un web framework para la transmisión con capacidad de análisis de imágenes de cámaras IP.  La bibliografía presentada son páginas webs relacionadas a las herramientas utilizadas para el desarrollo, pero no a temas relacionados  u otras aplicaciones relacionadas.  Problemas de formato (revisar ortografía,  saltos de línea cuando no debería, identación,  Indica en el resumen que el sistema tiene capacidad de análisis, pero al final indica que está desactivada.  ¿Cuál es la ventaja del ahorro en uso de Ips reales?  Falta un análisis de la situación anterior con la actual. En qué mejoró el sistema.",2010-07-05,635,presenta desarrollo web framework transmisión capacidad análisis imágenes cámaras ip bibliografía presentada páginas webs relacionadas herramientas utilizadas desarrollo temas relacionados u aplicaciones relacionadas problemas formato revisar ortografía saltos línea debería identación indica resumen sistema capacidad análisis indica desactivada ventaja ahorro ips reales falta análisis situación actual mejoró sistema,presentar desarrollo web framework transmisión capacidad análisi imagen cámara ip bibliografía presentado página web relacionado herramienta utilizado desarrollo tema relacionado u aplicación relacionado problema formato revisar ortografía salto línea deber identación indicar resumen sistema capacidad análisis indicar desactivado ventaja ahorro ip real faltar análisi situación actual mejorar sistema,402
103,40,4,-2,2,es,-1,,"- El artículo aborda un problema relevante y en boga en la comunidad (p.ej. CMMI-ACQ).  - No hay un estado del arte que revise intentos previos de resolver este problema. - La definición de patrones de proyecto de adquisición debería ceñirse a las definiciones usuales de patrón (máxime si se compara con los patrones de diseño, como se hace en las Conclusiones); p.ej. el estilo Portland de patrones de diseño reconoce contexto, problema y solución. - La técnica utilizada (MECT) parece adecuada para construir taxonomías, pero no patrones (al excluir consideraciones sobre causalidad etc.); el artículo parece asumir que los ""patrones de diseño"" son ""patrones de forma"", y no lo son. - La referencia [13] lista mal el nombre de la autora.",2010-07-05,740,artículo aborda problema relevante y boga comunidad pej cmmiacq arte revise intentos previos resolver problema definición patrones proyecto adquisición debería ceñirse definiciones usuales patrón máxime compara patrones diseño conclusiones pej estilo portland patrones diseño reconoce contexto problema y solución técnica utilizada mect adecuada construir taxonomías patrones excluir consideraciones causalidad etc artículo asumir patrones diseño patrones forma y referencia lista nombre autora,artículo abordo problema relevante y bogo comunidad pej cmmiacq arte revise intento previo resolver problema definición patrón proyecto adquisición deber ceñir él definición usual patrón máxime compar patrón diseño conclusión pej estilo portland patrón diseño reconocer contexto problema y solución técnico utilizado mect adecuado construir taxonomía patrón excluir consideración causalidad etc artículir asumir patrón diseño patrón forma y referencia listo nombre autoro,471
104,40,4,1,3,es,0,,"Este es un tema que no ha sido abordado suficientemente y que por lo mismo es bueno el tratarlo en forma ""seria"".  Justamente por lo planteado anteriormente, es que a esta temática se le puede ""sacar mayor partido"". A pesar que considero adecuada la clasificación deducida, creo que podría haberse profundizado un poco más.",2010-07-05,323,tema abordado suficientemente y tratarlo forma seria justamente planteado anteriormente temática sacar partido considero adecuada clasificación deducida haberse profundizado,tema abordado suficientemente y tratar él forma serio justamente planteado anteriormente temática sacar partido considerar adecuado clasificación deducido haber él profundizar,175
105,41,4,-1,1,es,-1,,"El artículo presenta un sistema detección y seguimiento de ojos para ayuda al análisis clínico psicológico.  Comentarios generales.  En el tema que aborda el artículo se ha publicado bastante. Sin embargo, no se citan otros trabajos relevantes directamente relacionados, que nos ayuden a ubicar la propuesta dentro de la literatura. Un buen punto de inicio puede ser el número especial de la revista: Computer Vision and Image Understanding Volume 98 ,  Issue 1  (April 2005) Special issue on eye detection and tracking  La parte experimental del trabajo es muy breve. Es importante describir detalladamente los datos empleados en la experimentación, cuáles son las condiciones de captura, e incluso hacerlos públicos para que otros investigadores puedan comparar con ellos. En cuanto a los resultados, no basta con dar un porcentaje de aciertos. Hay que analizar los falsos positivos y negativos y relacionarlos con la técnica utilizada y, si es posible, con los futuros temas a investigar.  Otros comentarios:  En el artículo se menciona que se ha considerado la velocidad de respuesta, pero no se proporcionan cifras.  En la introducción se cita la referencia [3] en la revisión relacionada sobre los aspectos psicológicos del artículo, cuando esta referencia parece ser de morfología matemática.  Algunas referencias están incompletas: + En la 1 y 2 falta la editorial + En la 3 la conferencia/revista. + En la 5 el volumen, número y páginas  El artículo aborda un tema de gran interés técnico y práctico.  Se describe un sistema que parece no estar completamente desarrollado.",2010-07-05,1581,artículo presenta sistema detección y seguimiento ojos ayuda análisis clínico psicológico comentarios generales tema aborda artículo publicado citan trabajos relevantes directamente relacionados ayuden ubicar propuesta literatura punto inicio número especial revista computer vision and image understanding volume issue april special issue on eye detection and tracking experimental importante describir detalladamente datos empleados experimentación condiciones captura e hacerlos públicos investigadores puedan comparar resultados basta porcentaje aciertos analizar falsos positivos y negativos y relacionarlos técnica utilizada y futuros temas investigar comentarios artículo menciona considerado velocidad respuesta proporcionan cifras introducción cita referencia revisión relacionada aspectos psicológicos artículo referencia morfología matemática referencias incompletas y falta editorial conferenciarevista volumen número y páginas artículo aborda tema interés técnico y práctico describe sistema completamente desarrollado,artículo presentar sistema detección y seguimiento ojo ayudar análisis clínico psicológico comentario general tema abordo artículo publicado citar trabajo relevante directamente relacionado ayudar ubicar propuesto literatura punto inicio número especial revista computer vision and image understanding volumir issue  april special issue on eye detection and tracking experimental importante describir detalladamente dato empleado experimentación condición capturo e hacerlo público investigador poder comparar resultado bastar porcentaje acierto analizar falso positivo y negativo y relacionar él técnico utilizado y futuro tema investigar comentario artículo mencionar considerado velocidad respuesta proporcionar cifra introducción cito referencia revisión relacionado aspecto psicológico artículo referencia morfologío matemático referencia incompleto y faltar editorial conferenciarevista volumen número y página artículo abordo tema interés técnico y práctico describir sistema completamente desarrollado,1009
106,41,3,-1,2,es,-1,,"El trabajo presenta un sistema en desarrollo de detección de posición de los ojos para apoyar el análisis psicológico de una persona.  Se presenta una forma para detectar globos oculares y su dirección.  Además de una pequeña mención a C/C++ no se especifica en forma explícita la utilización de librerías de apoyo, tales como filtros, captura de imágenes, etc.  Se menciona que la velocidad de respuesta del sistema ha sido considerada, sin embargo, no se presentan evidencias de este factor.  No se menciona el conjunto de datos sobre los cuales se realizó el estudio, si este es pre-existente o fue desarrollado específicamente para este trabajo por los autores. No se presenta además detalles de los rostros de este conjunto de datos (edad, raza, sexo, etc).  No se especifica si los resultados obtenidos fueron revisados por un profesional del área clínica y sus conclusiones.  Las referencias son muy pocas en relación al campo del trabajo desarrollado.",2010-07-05,959,presenta sistema desarrollo detección posición ojos apoyar análisis psicológico persona presenta forma detectar globos oculares y dirección pequeña mención cc especifica forma explícita utilización librerías apoyo tales filtros captura imágenes etc menciona velocidad respuesta sistema considerada presentan evidencias factor menciona conjunto datos estudio preexistente desarrollado específicamente autores presenta detalles rostros conjunto datos edad raza sexo etc especifica resultados obtenidos revisados profesional área clínica y conclusiones referencias relación campo desarrollado,presentar sistema desarrollo detección posición ojo apoyar análisis psicológico persona presentar forma detectar globo ocular y dirección pequeño mención cc especifico forma explícito utilización librería apoyo tal filtro captura imagen etc mencionar velocidad respuestar sistema considerado presentar evidencia factor mencionar conjunto dato estudio preexistente desarrollado específicamente autor presentar detalle rostro conjunto dato edad raza sexo etc especificar resultado obtenido revisado profesional área clínico y conclusión referencia relación campo desarrollado,573
107,41,2,0,3,es,-1,,"Este trabajo propone una parte de un, sistema no concluido, para reconocer e interpretar el movimiento ocular como herramienta de apoyo a un psicólogo.  Es un tema interesante.  Aunque es un tema interesante no queda bien explicado el problema a resolver ni se muestra los resultados de la interpretación del movimiento ocular. Podría haber utilizado más hojas para explicar esto. Faltó una parte de análisis de resultados.  Problemas de formato (problemas de redacción, ortografía, hay ecuaciones en las cuales no explica los términos, debe redactar en tercera persona)  La modalidad de presentación era en 4 o 10 páginas, sin embargo presenta sólo 3 páginas.",2010-07-05,660,propone sistema concluido reconocer e interpretar movimiento ocular herramienta apoyo psicólogo tema interesante tema interesante queda explicado problema resolver muestra resultados interpretación movimiento ocular utilizado hojas explicar faltó análisis resultados problemas formato problemas redacción ortografía ecuaciones explica términos redactar persona modalidad presentación páginas presenta páginas,proponer sistema concluido reconocer e interpretar movimiento ocular herramiento apoyo psicólogo tema interesante tema interesante quedar explicado problema resolver mostrar resultado interpretación movimiento ocular utilizado hoja explicar faltar análisi resultado problema formato problema redacción ortografío ecuación explicar término redactar persona modalidad presentación página presentar página,402
