,level_0,confidence,evaluation,id,lan,orientation,remarks,text,timespan,translate_eng,length_translate_eng,clean_eng_text,length_clean_eng_text,Lemma_clean_eng_text
42,16,4.0,0,3,es,-1,,"- La herramienta APARD - La temática asociada a requerimientos y fábrica de software es interesante  - No está detallado el caso práctico que considere el uso APARD con sus ventajas y limitaciones - La sección que explica la implementación de la solución APARD debe ser mejorada - Mejorar conclusiones - La presentación:  con errores ortográficos y de redacción, escrito en primera persona, figuras con letras muy pequeñas, color blanco de letras en figuras la hacen poco legible, referencias escritas de diferente forma, etc. - Se recomienda no utilizar Wikipedia como referencia para un artículo científico. - Falta autor en referencias 6, falta nombre de tema en referencia 13 - Referencia 7 está escrita con autor de manera diferente a las otras y con título antes de autor. - Cambiar “Palabras claves” por “Palabras clave”. - De acuerdo a formato, poner como mínimo 5 palabras clave. - Pone referencia en otro formato, ejemplo, Greenfield y Short(2003) - Hay mucho detalle de tecnologías y herramientas y productos detallados en la sección Especificación Tecnológica de APARD - ¿Qué significa IQNET[z]? - Sugiero poner en Introducción las secciones que componen el paper.",2010-07-05,"-The APARD tool-The theme associated with requirements and software factory is interesting-Is not detailed the practical case that considers the APARD use with its advantages and limitations-The section that explains the implementation of the APARD solution should be improved-Improve conclusions-The presentation: with spelling and writing errors, written in first person, figures with very small letters, white letters in figures make it unreadable, written references in different form, etc. -It is recommended not to use Wikipedia as a reference for a scientific article. -Missing author in references 6, missing topic name in reference 13-Reference 7 is written with author differently than others and with title before author. -Change ""Keywords"" to ""Keywords"". -According to format, put at least 5 keywords. -It puts reference in another format, example, Greenfield and Short (2003)-There is a lot of detail of technologies and tools and products detailed in the Technology Specification section of APARD-What does IQNET [z] mean? -I suggest putting in Introduction the sections that make up the paper.",1108,apard toolthe theme associated requirements software factory interestingis detailed practical case considers apard use advantages limitationsthe section explains implementation apard solution improvedimprove conclusionsthe presentation spelling writing errors written first person figures small letters white letters figures make unreadable written references different form etc recommended use wikipedia reference scientific article missing author references missing topic name reference written author differently others title author change keywords keywords according format put least keywords puts reference another format example greenfield short lot detail technologies tools products detailed technology specification section apardwhat iqnet mean suggest putting introduction sections make paper,802,apard toolthe theme associated requirement software factory interestingis detailed practical case considers apard use advantage limitationsthe section explains implementation apard solution improvedimprove conclusionsthe presentation spelling writing error written first person figure small letter white letter figure make unreadable written reference different form etc recommended use wikipedia reference scientific article missing author reference missing topic name reference written author differently others title author change keywords keywords according format put least keywords put reference another format example greenfield short lot detail technology tool product detailed technology specification section apardwhat iqnet mean suggest putting introduction section make paper
43,17,4.0,0,2,es,-1,,"El tema del artículo es novedoso y necesario en la literatura de modelamiento de procesos  El trabajo en general presenta un desarrollo pobre en lo teórico. Para llevar a efecto la comparación entre las técnicas de modelamiento de procesos se debe construir una metodología que muestre efectivamente las ventajas de un método por sobre el otro.  La comparación efectuada entre los métodos debe ser presentada para un caso general, dado que en ninguna parte la metodología explica que se va a aplicar a una  situación particular.  La metodología del artículo no explicita adecuadamente la forma en la cual se desarrolló la comparación, sólo expone los criterios de decisión utilizados en su construcción, lo cual no permite evaluar adecuadamente los resultados obtenidos.  No se expone con claridad la pregunta de investigación y los objetivos del estudio efectuado.",2010-07-05,"The topic of the article is novel and necessary in the literature of process modeling. Work in general presents a poor development in the theoretical. In order to bring about the comparison between process modeling techniques, a methodology must be constructed that effectively shows the advantages of one method over the other.  The comparison made between the methods should be presented for a general case, since nowhere does the methodology explain what is going to be applied to a particular situation.  The methodology of the article does not adequately explain the way in which the comparison was developed, it only exposes the decision criteria used in its construction, which does not allow to properly evaluate the results obtained.  The research question and the objectives of the study are not clearly set out.",822,topic article novel necessary literature process modeling work general presents poor development theoretical order bring comparison process modeling techniques methodology must constructed effectively shows advantages one method comparison made methods presented general case since nowhere methodology explain going applied particular situation methodology article adequately explain way comparison developed exposes decision criteria used construction allow properly evaluate results obtained research question objectives study clearly set,540,topic article novel necessary literature process modeling work general present poor development theoretical order bring comparison process modeling technique methodology must constructed effectively show advantage one method comparison made method presented general case since nowhere methodology explain going applied particular situation methodology article adequately explain way comparison developed expose decision criterion used construction allow properly evaluate result obtained research question objective study clearly set
44,17,3.0,-2,3,es,-1,Justificación:,"Justificación: Es un trabajo que no tiene mucha novedad, es un tema que se ha estudiado bastante, sobre todo los modelos gráficos. Estos conceptos están incorporados en las herramientas CASE, aun cuando en el documento no se presenta en profundidad. Tal vez un mayor aporte hubiese sido investigar los métodos formales y ampliar el análisis comparativo de métodos.",2010-07-05,"Justification: It is a work that does not have much novelty, it is a subject that has been studied quite a lot, especially the graphic models. These concepts are built into the CASE tools, even though the document does not present in depth. Perhaps a greater contribution would have been to investigate the formal methods and to extend the comparative analysis of methods.",372,justification work much novelty subject studied quite lot especially graphic models concepts built case tools even though document present depth perhaps greater contribution would investigate formal methods extend comparative analysis methods,242,justification work much novelty subject studied quite lot especially graphic model concept built case tool even though document present depth perhaps greater contribution would investigate formal method extend comparative analysis method
45,18,4.0,2,1,en,1,,"This paper is very interesting, I like the idea, and to make it a work publishable in vennue reaching a wider international audience it is necessary to validate the proposed ideas through extensive experimentation with actual data and users, please go ahead.",2010-07-05,"This paper is very interesting, I like the idea, and to make it a work publishable in venue reaching a wider international audience it is necessary to validate the proposed ideas through extensive experience with current data and users, please go ahead.",253,paper interesting like idea make work publishable venue reaching wider international audience necessary validate proposed ideas extensive experience current data users please go ahead,183,paper interesting like idea make work publishable venue reaching wider international audience necessary validate proposed idea extensive experience current data user please go ahead
46,18,4.0,2,2,es,2,,"Este trabajo propone un nuevo enfoque para el apoyo de la priorización de requisitos a través de un proceso de transformación de los Casos de Uso en un grafo de dependencia a través de la aplicación de técnicas de IR, redes bayesianas y evaluación del experto en el dominio. El enfoque se presenta como un interesante aporte para la priorización de requisitos y muestra su aplicación a un caso real. El documento está bien escrito y muy bien soportado por referencias. Los resultados son robustos según el enfoque utilizado y se presentan trabajos futuros bien direccionados.  Algunos errores tipográficos o de redacción pueden ser encontrados en la página 5 (párrafo 1 y 2). Confusión por el uso de k y K en la página 5 (o error tipográfico). Puede que no quede claro la utilización del conocimiento de la priorización realizada en el caso base de prueba con respecto a la realizada semi-automáticamente por su enfoque, salvo que se utiliza el conocimiento del experto. Quizás una comparación objetiva entre las dos priorizaciones sería adecuado.",2010-07-05,"This paper proposes a new approach to support the prioritization of requirements through a process of transformation of Use Cases in a dependency graph through the application of IR techniques, Bayesian networks and domain expert assessment. The approach is presented as an interesting input for the prioritization of requirements and shows its application to a real case. The document is well written and very well supported by references. The results are robust according to the approach used and well-routed future work is presented.  Some typographical or editorial errors can be found on page 5 (paragraph 1 and 2). Confusion over the use of k and K on page 5 (or typo). It may not be clear to use the knowledge of the prioritization made in the test base case with respect to the one performed semi-automatically by its approach, except that the expert's knowledge is used. Perhaps an objective comparison between the two prioritizations would be adequate.",962,paper proposes new approach support prioritization requirements process transformation use cases dependency graph application ir techniques bayesian networks domain expert assessment approach presented interesting input prioritization requirements shows application real case document well written well supported references results robust according approach used wellrouted future work presented typographical editorial errors found page paragraph confusion use k k page typo may clear use knowledge prioritization made test base case respect one performed semiautomatically approach except experts knowledge used perhaps objective comparison two prioritizations would adequate,677,paper proposes new approach support prioritization requirement process transformation use case dependency graph application ir technique bayesian network domain expert assessment approach presented interesting input prioritization requirement show application real case document well written well supported reference result robust according approach used wellrouted future work presented typographical editorial error found page paragraph confusion use k k page typo may clear use knowledge prioritization made test base case respect one performed semiautomatically approach except expert knowledge used perhaps objective comparison two prioritizations would adequate
47,18,4.0,0,3,es,-1,,"Desde el punto de vista de las redes Bayesianas, el trabajo no hace más que una aplicación directa de la implementación en Genie del algoritmo K2 (Cooper y Hervokits, 1992). No queda claro para que se va a utilizar la potencialidad de este modelo gráfico probabilístico a nivel de inferencia o clasificación. Las referencias incluidas en la lista debe de ser refinadas (no tiene sentido incluir referencias de los años 90 en las que aparezcan la coletilla de ""enviado"").",2010-07-05,"From the point of view of Bayesian networks, the work does nothing more than a direct application of the implementation in Genie of the algorithm K2 (Cooper and Hervokits, 1992). It is not clear to use the potentiality of this probabilistic graphic model at the level of inference or classification. The references included in the list must be refined (it does not make sense to include references from the '90s in which the' sent ' label appears).",448,point view bayesian networks work nothing direct application implementation genie algorithm cooper hervokits clear use potentiality probabilistic graphic model level inference classification references included list must refined make sense include references sent label appears,277,point view bayesian network work nothing direct application implementation genie algorithm cooper hervokits clear use potentiality probabilistic graphic model level inference classification reference included list must refined make sense include reference sent label appears
48,19,2.0,-2,1,es,-2,"Falta de claridad en los conceptos y presentación de la propuesta, la que carece de referencias de aportes en el contexto de un problema muy usual.","El tema es de actualidad y se recrea la tercera misión a través de la propuesta. Me parece meritoria e interesante, además del efecto multiplicador que esto conlleva para las empresas y las universidades en abordar problemas reales, con ""personas"" reales.  Los Acrónimos definidos no presentan o representan su origen o fuente. Por ejemplo, FCAB, dice empresa de Ferrocarriles, pero no se ajusta a la realidad, pues debería ser Ferrocarriles de Antofagasta. Y así con otras, como CMM, HPC, AMPL, los que carecen de significado.  No queda claramente discutido el tema de la propuesta en su contexto, ni los aportes y/o innovaciones en contraste con otras propuestas de la misma naturaleza que se pudiesen citar en referencias, bibliografía, papers o artículos, en donde bien pueden dar o entregar algunas consideraciones sobre el estado del arte del problema. Lo anterior, bien se podría realizar en la introducción o en la presentación del problema.  Falta de claridad en la forma de expresarse o en la definición. Me refiero a por ejemplo, ""diagrama normal"", ""problema del diagrama normal"" y el ""problema del diagrama NxN."" (en este último al menos se menciona un ejemplo.), ""modelo de diagrama equilibrado"", entre otros.  Se hacen muchos juicios de valor sin tener el respaldo para ello. Me refiero a que se menciona textual... ""este algoritmo es de convergencia lenta..."" "".... los sistemas comerciales y muchos sistemas de libre disposición en la Web......usan técnicas heurísticas, con el fin de hacerlo eficiente."" ""lento"", ¿en qué sentido?, ya que existe un entramado de posibilidades que podrían justificar tal juicio, a cuál se refiere?. ""sistemas comerciales"", ¿a cuáles se refiere? ""sistemas libres"", se refiere a sistemas FOSS (Free and open source software)? ""técnicas heurísticas"", ¿cuáles de los mencionados usan esta técnica?. ""hacerlo más eficiente"", al igual que antes, ¿en qué sentido, hacerlo más eficiente.?. A caso, no lo es ahora?.  Falta fundamentar y sustentar tales juicios con trabajos y/o referencias bibliográficas, por ejemplo.  Se habla de un grafo, que estaría representando el problema. Existiendo tantas herramientas de modelamiento, que lástima que no se presente o se visualice un modelo gráfico sobre el particular.  Se desconoce el formato de los archivos de entrada, y/o transformaciones que deberán sufrir estos para alimentar los archivos AMPL en el proceso de Leer/transformar datos a AMPL. Análogamente, para cuando la recupera en formato AMPL y la traduce al formato XML. El uso de DSL (Domain-Specific Language) sería una solución plausible?.  Por qué SSH?, ¿qué estudio avala tal decisión.?? Cómo se realiza la autenticación?. que método utiliza?. Autenticación vía password, tarjeta, voz, etc...  Se hacen referencia a una serie de libros clásicos, los cuales no se correlacionan con la presentación, ni con el contexto de la propuesta. Muy genérico. Podría ser más específico respecto del porque citar estos libros. Además no se mencionan en la propuesta el enlace (numeración)a las Referencias.  Carece de conclusiones, o agradecimientos. Me imagino que FCAB facilitó la infraestructura y la problemática.  Carece de enlaces a los portales de las herramientas que utilizaron o utilizaran. Por ejemplo. http://www.ampl.com, http://www.openssh.com/, entre otros.",2010-07-05,"The issue is topical and the third mission is being recreated through the proposal. I find it meritorious and interesting, in addition to the multiplier effect that this entails for businesses and universities in addressing real problems, with real 'people'.  Defined Acronyms do not present or represent their origin or source. For example, FCAB, says the company of Railways, but does not conform to the reality, because it should be the Railways of Antofagasta. And so with others, such as CMM, HPC, AMPL, that lack meaning.  The theme of the proposal is not clearly discussed in its context, nor the contributions and/or innovations in contrast to other proposals of the same nature that could be cited in references, bibliography, papers or articles, where they may well give or deliver some considerations on the state of the art of the problem. This could be done either in the introduction or in the presentation of the problem.  Lack of clarity in the form of expression or in the definition. I mean, for example, ""normal diagram"", ""normal diagram problem"" and ""NxN diagram problem"". (in the latter at least one example is mentioned.), ""balanced diagram model"", among others.  Many value judgments are made without having the backing for it. I mean that there is textual mention ... ""this algorithm is of slow convergence ..."" ""... the commercial systems and many free systems in the Web......use heuristic techniques, in order to make it efficient."" ""Slow"", in what sense?, since there is a lattice of possibilities that could justify such a judgment, which it refers to? ""commercial systems"", to which one does it refer? ""free systems"" refers to FOSS systems (Free and open source software)? ""heuristic techniques"", which of the aforementioned use this technique?. ""make it more efficient,"" just like before, in what sense, make it more efficient.?. If so, it is not right now?  It is not necessary to substantiate and support such judgments with works and/or bibliographic references, for example.  There is talk of a graph, which would be representing the problem. There are so many modeling tools, which pity that a particular graphic model is not present or displayed.  The format of the input files, and/or transformations to be suffered by these files to feed the AMPL files in the process of Reading/Transforming data to AMPL, is unknown. Similarly, for when you retrieve it in AMPL format and translate it into XML format. The use of the Domain-Specific Language (DSL) would be a plausible solution?  Why SSH?, what study does such a decision endorse??? How is authentication performed? what method does it use? Authentication via password, card, voice, etc. ..  Reference is made to a number of classic books, which do not correlate with the presentation, nor with the context of the proposal. Very generic. I could be more specific about why I quote these books. In addition, the link (numbering) to the references is not mentioned in the proposal.  It lacks conclusions, or acknowledgments. I imagine that FCAB facilitated the infrastructure and the problematic.  It lacks links to the portals of the tools they used or used. For example. http://www.ampl.com http://www.ampl.com, http://www.openssh.com/, among others.",3240,issue topical third mission recreated proposal find meritorious interesting addition multiplier effect entails businesses universities addressing real problems real people defined acronyms present represent origin source example fcab says company railways conform reality railways antofagasta others cmm hpc ampl lack meaning theme proposal clearly discussed context contributions andor innovations contrast proposals nature could cited references bibliography papers articles may well give deliver considerations state art problem could done either introduction presentation problem lack clarity form expression definition mean example normal diagram normal diagram problem nxn diagram problem latter least one example mentioned balanced diagram model among others many value judgments made without backing mean textual mention algorithm slow convergence commercial systems many free systems webuse heuristic techniques order make efficient slow sense since lattice possibilities could justify judgment refers commercial systems one refer free systems refers foss systems free open source software heuristic techniques aforementioned use technique make efficient like sense make efficient right necessary substantiate support judgments works andor bibliographic references example talk graph would representing problem many modeling tools pity particular graphic model present displayed format input files andor transformations suffered files feed ampl files process readingtransforming data ampl unknown similarly retrieve ampl format translate xml format use domainspecific language dsl would plausible solution ssh study decision endorse authentication performed method use authentication via password card voice etc reference made number classic books correlate presentation context proposal generic could specific quote books addition link numbering references mentioned proposal lacks conclusions acknowledgments imagine fcab facilitated infrastructure problematic lacks links portals tools used used example httpwwwamplcom httpwwwamplcom httpwwwopensshcom among others,2076,issue topical third mission recreated proposal find meritorious interesting addition multiplier effect entail business university addressing real problem real people defined acronym present represent origin source example fcab say company railway conform reality railway antofagasta others cmm hpc ampl lack meaning theme proposal clearly discussed context contribution andor innovation contrast proposal nature could cited reference bibliography paper article may well give deliver consideration state art problem could done either introduction presentation problem lack clarity form expression definition mean example normal diagram normal diagram problem nxn diagram problem latter least one example mentioned balanced diagram model among others many value judgment made without backing mean textual mention algorithm slow convergence commercial system many free system webuse heuristic technique order make efficient slow sense since lattice possibility could justify judgment refers commercial system one refer free system refers fo system free open source software heuristic technique aforementioned use technique make efficient like sense make efficient right necessary substantiate support judgment work andor bibliographic reference example talk graph would representing problem many modeling tool pity particular graphic model present displayed format input file andor transformation suffered file feed ampl file process readingtransforming data ampl unknown similarly retrieve ampl format translate xml format use domainspecific language dsl would plausible solution ssh study decision endorse authentication performed method use authentication via password card voice etc reference made number classic book correlate presentation context proposal generic could specific quote book addition link numbering reference mentioned proposal lack conclusion acknowledgment imagine fcab facilitated infrastructure problematic lack link portal tool used used example httpwwwamplcom httpwwwamplcom httpwwwopensshcom among others
49,19,3.0,-2,2,es,-1,"Incluso para la categoría ""short paper"", el artículo en su estado actual no parece suficiente. Podría ser un ""poster"" o un reporte de ""work in progress"" si alguna de esas categorías existiera.","Se presenta un modelo de optimización con restricciones de asignación de tripulaciones de trenes y su implementación en Java.  El problema está claramente delimitado y tiene aplicación práctica.  La solución propuesta parece apropiada.  La presentación extremadamente breve (dos páginas de contenido) no permite evaluar la calidad técnica ni la relevancia del trabajo.  No se incluye discusión de trabajo relacionado ni de los aportes del trabajo mismo.  No se proporcionan detalles del modelo, ni del software, ni de los resultados experimentales.",2010-07-05,"An optimization model is presented with train crew allocation restrictions and their implementation in Java.  The problem is clearly defined and has practical implementation.  The proposed solution seems appropriate.  The extremely short presentation (two pages of content) does not allow the evaluation of the technical quality or the relevance of the work.  There is no discussion of related work or the contributions of the work itself.  No details of the model, software, or experimental results are provided.",513,optimization model presented train crew allocation restrictions implementation java problem clearly defined practical implementation proposed solution seems appropriate extremely short presentation two pages content allow evaluation technical quality relevance work discussion related work contributions work details model software experimental results provided,361,optimization model presented train crew allocation restriction implementation java problem clearly defined practical implementation proposed solution seems appropriate extremely short presentation two page content allow evaluation technical quality relevance work discussion related work contribution work detail model software experimental result provided
50,19,4.0,1,3,es,0,,"Es un buen tema para el congreso. Presenta una buena propuesta de trabajo de vinculación  Está redactado como un abstract extendido, debe ser re-escrito para ser aceptado definitivamente para el congreso. No hay referencias y las que coloca al final son pobres. Por la presentación debería ser castigado",2010-07-05,"It's a good topic for congress. Presents a Good Proposal for Bind Work It's drafted as an extended abstract, it should be re-written to be definitively accepted for congress. There are no references and the ones that put in the end are poor. By filing should be punished",270,good topic congress presents good proposal bind work drafted extended abstract rewritten definitively accepted congress references ones put end poor filing punished,164,good topic congress present good proposal bind work drafted extended abstract rewritten definitively accepted congress reference one put end poor filing punished
51,20,4.0,2,1,es,1,"Creo que responde a las expectativas de los artículos que se esperaban, marcando un estándar tanto en la forma como en el fondo.","El tema es de vital actualidad, factible de realizar (se dan evidencias de aquello) y se recrea al mismo tiempo la ejecución de la ""tercera misión"" a través de la propuesta. Me parece meritoria e interesante el efecto multiplicador que esto ha tenido, al incorporar los actores a la propuesta.  En específico me refiero a las empresas o pymes, las universidades e institutos (alumnos), INDAP, en abordar problemas reales, con ""personas"" reales.  La propuesta logra presentar una dinámica, en este caso, de la sociedad agrícola, que apalanque la gestión del conocimiento. Una derivada interesante de la propuesta es que ha servido para identificar las oportunidades que existen en la Región y su entorno, a la luz de las acciones que se están ejerciendo con el fin de obtener aún más de ellas, en lo específico me refiero a la Universidad, entidades gubernamentales y la sociedad.  Carencia de referencias internacionales de los estándares (si es que existen?) que se desean alcanzar en éste ámbito. Se compromete a mejorar la ""rentabilidad de los pequeños productores"", pero no se dice cómo, ya que con sólo la incorporación de la tecnología no es suficiente.",2010-07-05,"The theme is of vital actuality, feasible to realize (evidence of that is given) and the execution of the ""third mission"" is recreated at the same time through the proposal. I find it meritorious and interesting the multiplier effect that this has had, by incorporating the actors into the proposal.  Specifically, I mean companies or SMEs, universities and institutes (students), INDAP, in addressing real problems, with real ""people"".  The proposal manages to present a dynamic, in this case, of the agricultural society, which will leverage knowledge management. An interesting derivative of the proposal is that it has served to identify the opportunities that exist in the Region and its surroundings, in the light of the actions that are being exercised in order to obtain even more of them, specifically I mean the University, governmental entities and society.  Lack of international references to the standards (if any?) that they wish to achieve in this field. It is committed to improving the ""profitability of small producers"", but it is not said how, since only the incorporation of technology is not enough.",1121,theme vital actuality feasible realize evidence given execution third mission recreated time proposal find meritorious interesting multiplier effect incorporating actors proposal specifically mean companies smes universities institutes students indap addressing real problems real people proposal manages present dynamic case agricultural society leverage knowledge management interesting derivative proposal served identify opportunities exist region surroundings light actions exercised order obtain even specifically mean university governmental entities society lack international references standards wish achieve field committed improving profitability small producers said since incorporation technology enough,717,theme vital actuality feasible realize evidence given execution third mission recreated time proposal find meritorious interesting multiplier effect incorporating actor proposal specifically mean company smes university institute student indap addressing real problem real people proposal manages present dynamic case agricultural society leverage knowledge management interesting derivative proposal served identify opportunity exist region surroundings light action exercised order obtain even specifically mean university governmental entity society lack international reference standard wish achieve field committed improving profitability small producer said since incorporation technology enough
52,20,4.0,0,2,es,-1,,Poca información sobre aspectos técnicos utilizados en el desarrollo del sistema.,2010-07-05,Little information about technical aspects used in the development of the system.,81,little information technical aspects used development system,60,little information technical aspect used development system
53,20,4.0,0,3,es,1,,"Sin duda en este campo se pueden realizar muchos aportes de tipo innovativos (y este trabajo lo es).  En él artículo se debió destacar más fuertemente los aportes informáticos y no tan sólo destacarlos débilmente. Tampoco se ve con claridad el ""cómo se va a ahondar"" en las reglas del negocio y se menciona sólo genéricamente esbozos metodológicos.",2010-07-05,"Undoubtedly in this field, many innovative contributions can be made (and this work is).  In the article, it was necessary to emphasize more strongly the computer contributions and not only highlight them weakly. Nor is it clear that the ""how is going to be delved"" into the rules of the business, and is mentioned only generically, methodological outlines.",357,undoubtedly field many innovative contributions made work article necessary emphasize strongly computer contributions highlight weakly clear going delved rules business mentioned generically methodological outlines,214,undoubtedly field many innovative contribution made work article necessary emphasize strongly computer contribution highlight weakly clear going delved rule business mentioned generically methodological outline
54,21,3.0,-2,1,es,-1,"No queda claramente establecida la magnitud de la propuesta, en el sentido que se desconoce que representa una flota, personal, nº de locomotoras.","es interesante constatar la preocupación de personas individuales que se preocupen de la seguridad y el mejor servicio que pueda brindar la empresa.   La figura 1 no es auto explicativa en términos de explicar los componentes del sistema, por ejemplo, TVL, que está a bordo de las locomotoras. Los Acrónimos definidos no presentan o representan su origen o fuente. Por ejemplo, VHF, SMS, XML, GPS, PLC, los que carecen de significado. Se dice que la información está disponible en diagramas y herramientas como Google Earth, cómo así.? Acaso, permite visualizar imágenes en 3D, combina imágenes de satélite, mapas y el motor de búsqueda de Google, permitiendo ver imágenes a escala de un lugar específico de la ruta.?.es eso lo que se logró?. Existen una serie de conclusiones, las cuales no son documentadas. Se dice, presentó un alza de 6%, sobre cuánto?. ¿Cómo son o cómo se obtienen los indicadores de eficiencia.? Bibliografía, mal citada.",2010-07-05,"It is interesting to note the concern of individuals who care about the safety and the best service that the company can provide.   Figure 1 is not self-explanatory in terms of explaining the components of the system, for example, TVL, which is on board the locomotives. Defined Acronyms do not present or represent their origin or source. For example, VHF, SMS, XML, GPS, PLC, which are meaningless. The information is said to be available in diagrams and tools such as Google Earth, as well.? Perhaps, it allows you to visualize 3D images, combines satellite images, maps and Google search engine, allowing you to view images at the scale of a specific location on the route. ?.es that what was achieved? There are a number of conclusions, which are not documented. It is said, I present an increase of 6%, on how much? How are they or how are the efficiency indicators obtained? Bibliography, misquoted.",906,interesting note concern individuals care safety best service company provide figure selfexplanatory terms explaining components system example tvl board locomotives defined acronyms present represent origin source example vhf sms xml gps plc meaningless information said available diagrams tools google earth well perhaps allows visualize images combines satellite images maps google search engine allowing view images scale specific location route es achieved number conclusions documented said present increase much efficiency indicators obtained bibliography misquoted,572,interesting note concern individual care safety best service company provide figure selfexplanatory term explaining component system example tvl board locomotive defined acronym present represent origin source example vhf sm xml gps plc meaningless information said available diagram tool google earth well perhaps allows visualize image combine satellite image map google search engine allowing view image scale specific location route e achieved number conclusion documented said present increase much efficiency indicator obtained bibliography misquoted
55,21,3.0,-2,2,es,-1,"Adicionalmente, no queda claro en qué área de la conferencia pudiera caber este artículo.","El artículo presenta un sistema de control de flota que integra diversas tecnologías.  Se presenta una solución compleja que integra distintos sistemas de hardware y software.  La presentación describe el sistema a nivel de módulos principales (gestión y control de trenes, SMS, autorizaciones de vía, detectores de desrielo, y cambios radiales) pero no profundiza en ninguno.  Se presenta la solución como una alternativa de bajo costo comparable a referentes mundiales, sin embargo no se aportan datos al respecto. Así mismo, no se proporciona respaldo para las afirmaciones hechas respecto de escalablidad y otros beneficios de la solución (ver Conclusiones y las dos secciones precedentes).",2010-07-05,"The article presents a fleet control system that integrates various technologies.  A complex solution is presented that integrates different hardware and software systems.  The presentation describes the system at the level of main modules (train management and control, SMS, track authorizations, fire detectors, and radial changes) but does not delve into any.  The solution is presented as a low-cost alternative comparable to global benchmarks, however no data is provided. In addition, no support is provided for the claims made in terms of scale and other benefits of the solution (see Conclusions and the two preceding sections).",636,article presents fleet control system integrates various technologies complex solution presented integrates different hardware software systems presentation describes system level main modules train management control sms track authorizations fire detectors radial changes delve solution presented lowcost alternative comparable global benchmarks however data provided addition support provided claims made terms scale benefits solution see conclusions two preceding sections,475,article present fleet control system integrates various technology complex solution presented integrates different hardware software system presentation describes system level main module train management control sm track authorization fire detector radial change delve solution presented lowcost alternative comparable global benchmark however data provided addition support provided claim made term scale benefit solution see conclusion two preceding section
56,21,3.0,1,3,es,-1,,"El artículo es una buena idea Adolece de profundidad, se presenta muy someramente, no presenta una revisión de trabajos relacionados, no plantea el modelo y la red de sensores que va utilizar, por la redacción se estima que esta en un estado temprano de la investigación, falta desarrollo, ejemplo escenario de evaluación.",2010-07-05,"The article is a good idea Adolescent depth, it presents very somberly, does not present a review of related works, does not propose the model and the network of sensors that it will use, by the wording it is estimated that it is in an early state of the investigation, lack development, example scenario of evaluation.",319,article good idea adolescent depth presents somberly present review related works propose model network sensors use wording estimated early state investigation lack development example scenario evaluation,204,article good idea adolescent depth present somberly present review related work propose model network sensor use wording estimated early state investigation lack development example scenario evaluation
57,22,4.0,1,1,es,0,,"En este trabajo se realiza una propuesta para la identificación de riesgos relativos al proceso de outsourcing de software, para lo cual se diseña una taxonomía que es aplicada preliminarmente en una organización como forma de validación, aunque sólo en la forma de una encuesta de opinión.  Para robustecer el aporte científico sería ideal contar con una aplicación real que acompañe el proceso de outsourcing de comienzo a fin de modo de poder dimensionar de mejor manera el real aporte y efectividad de la taxonomía propuesta",2010-07-05,"In this work, a proposal is made for the identification of risks related to the software outsourcing process, for which a taxonomy is designed that is applied preliminarily in an organization as a form of validation, although only in the form of an opinion poll.  To strengthen the scientific contribution, it would be ideal to have a real application that accompanies the process of outsourcing from beginning to end in order to better size the real contribution and effectiveness of the proposed taxonomy",506,work proposal made identification risks related software outsourcing process taxonomy designed applied preliminarily organization form validation although form opinion poll strengthen scientific contribution would ideal real application accompanies process outsourcing beginning end order better size real contribution effectiveness proposed taxonomy,350,work proposal made identification risk related software outsourcing process taxonomy designed applied preliminarily organization form validation although form opinion poll strengthen scientific contribution would ideal real application accompanies process outsourcing beginning end order better size real contribution effectiveness proposed taxonomy
