,level_0,evaluation,orientation,Lemma_clean_eng_text,length,Vader_Compound,Vader_sentiment,Vader_score,TextBlob_polarity,TextBlob_subjectivity,TextBlob_sentiment,TextBlob_score
40,16,-1,-1,development prototype automatic software requirement allocation tool among developer presented tool useful software development team question making contribution tool quality developed product explained heuristic used assignment requirement programmer study existing requirement management tool presented demonstrated alternative tool one presented alternative justify develop new one functionality tool clearly explained evidence improvement process including tool said conclusion change quality process perceptible bibliographic reference used mostly web page bibliographic review noted specialized database figure distinguished well bibliographic reference comply established format must write third person,709,0.8658,positive,1,0.18939393939393936,0.27297979797979793,positive,1
41,16,1,0,novel requirement planning proposal software factory contribution towards improving quality project although title article oriented towards planning requirement point addressed narrate implemented prototype include conceptual basis support role played requirement administration software development process particularly quality assurance process evidenced contribution automatic planning requirement software factory allow reduce development time estimated v real therefore ensure higher quality relationship exists proposal make framework cmmi clear article proposes model requirement planning supported automatic tool prototype propose interesting relevant think better organize model method propose associated reality real contribution author believe technical point view would important analysis result raise case study bank done mean quantitative interpretation comparison really show automatic planning really improving quality process andor least estimate actual execution time development le scenario according antecedent already justified direct relation quality interesting proposal applied real case requirement engineering management process currently contribute reduction time associated phase development software product consequently quality process considering engineering requirement many problematic cause action generate software crisis therefore affectation quality management remains open question really contribution towards planning requirement considerable effect respect cause crucial point prioritization requirement validation andor traceability organization document improve following aspectssome figure included necessary really contribute anything additional described text besides visually say much section design apard name many aspect technical order characteristic factory reference software give greater weight intention article giving really influential data application optimize quality figure mainly show internal component algorithm action use systemprofiles one show greatest contribution several drafting error reviewed p example use basis changed based used used,2105,0.9924,very positive,2,0.18058943089430896,0.39888211382113814,positive,1
42,16,0,-1,apard toolthe theme associated requirement software factory interestingis detailed practical case considers apard use advantage limitationsthe section explains implementation apard solution improvedimprove conclusionsthe presentation spelling writing error written first person figure small letter white letter figure make unreadable written reference different form etc recommended use wikipedia reference scientific article missing author reference missing topic name reference written author differently others title author change keywords keywords according format put least keywords put reference another format example greenfield short lot detail technology tool product detailed technology specification section apardwhat iqnet mean suggest putting introduction section make paper,787,-0.25,negative,-1,-0.01770833333333333,0.4100694444444444,negative,-1
43,17,0,-1,topic article novel necessary literature process modeling work general present poor development theoretical order bring comparison process modeling technique methodology must constructed effectively show advantage one method comparison made method presented general case since nowhere methodology explain going applied particular situation methodology article adequately explain way comparison developed expose decision criterion used construction allow properly evaluate result obtained research question objective study clearly set,533,0.7269,positive,1,0.07692307692307693,0.38846153846153836,positive,1
44,17,-2,-1,justification work much novelty subject studied quite lot especially graphic model concept built case tool even though document present depth perhaps greater contribution would investigate formal method extend comparative analysis method,237,0.4939,positive,1,0.10666666666666666,0.3666666666666667,positive,1
45,18,2,1,paper interesting like idea make work publishable venue reaching wider international audience necessary validate proposed idea extensive experience current data user please go ahead,181,0.8689,positive,1,0.1,0.44666666666666666,positive,1
46,18,2,2,paper proposes new approach support prioritization requirement process transformation use case dependency graph application ir technique bayesian network domain expert assessment approach presented interesting input prioritization requirement show application real case document well written well supported reference result robust according approach used wellrouted future work presented typographical editorial error found page paragraph confusion use k k page typo may clear use knowledge prioritization made test base case respect one performed semiautomatically approach except expert knowledge used perhaps objective comparison two prioritizations would adequate,667,0.9325,very positive,2,0.05871212121212121,0.39952651515151516,positive,1
47,18,0,-1,point view bayesian network work nothing direct application implementation genie algorithm cooper hervokits clear use potentiality probabilistic graphic model level inference classification reference included list must refined make sense include reference sent label appears,274,0.3818,positive,1,0.06666666666666667,0.39444444444444443,positive,1
48,19,-2,-2,issue topical third mission recreated proposal find meritorious interesting addition multiplier effect entail business university addressing real problem real people defined acronym present represent origin source example fcab say company railway conform reality railway antofagasta others cmm hpc ampl lack meaning theme proposal clearly discussed context contribution andor innovation contrast proposal nature could cited reference bibliography paper article may well give deliver consideration state art problem could done either introduction presentation problem lack clarity form expression definition mean example normal diagram normal diagram problem nxn diagram problem latter least one example mentioned balanced diagram model among others many value judgment made without backing mean textual mention algorithm slow convergence commercial system many free system webuse heuristic technique order make efficient slow sense since lattice possibility could justify judgment refers commercial system one refer free system refers fo system free open source software heuristic technique aforementioned use technique make efficient like sense make efficient right necessary substantiate support judgment work andor bibliographic reference example talk graph would representing problem many modeling tool pity particular graphic model present displayed format input file andor transformation suffered file feed ampl file process readingtransforming data ampl unknown similarly retrieve ampl format translate xml format use domainspecific language dsl would plausible solution ssh study decision endorse authentication performed method use authentication via password card voice etc reference made number classic book correlate presentation context proposal generic could specific quote book addition link numbering reference mentioned proposal lack conclusion acknowledgment imagine fcab facilitated infrastructure problematic lack link portal tool used used example httpwwwamplcom httpwwwamplcom httpwwwopensshcom among others,2029,0.9174,very positive,2,0.09173101673101672,0.38024453024453025,positive,1
49,19,-2,-1,optimization model presented train crew allocation restriction implementation java problem clearly defined practical implementation proposed solution seems appropriate extremely short presentation two page content allow evaluation technical quality relevance work discussion related work contribution work detail model software experimental result provided,356,0.5719,positive,1,0.11666666666666665,0.34722222222222227,positive,1
50,19,1,0,good topic congress present good proposal bind work drafted extended abstract rewritten definitively accepted congress reference one put end poor filing punished,161,0.2023,positive,1,0.24999999999999997,0.45000000000000007,positive,1
51,20,2,1,theme vital actuality feasible realize evidence given execution third mission recreated time proposal find meritorious interesting multiplier effect incorporating actor proposal specifically mean company smes university institute student indap addressing real problem real people proposal manages present dynamic case agricultural society leverage knowledge management interesting derivative proposal served identify opportunity exist region surroundings light action exercised order obtain even specifically mean university governmental entity society lack international reference standard wish achieve field committed improving profitability small producer said since incorporation technology enough,701,0.9571,very positive,2,0.0703125,0.3276041666666667,positive,1
52,20,0,-1,little information technical aspect used development system,59,0.0,Neutral,0,-0.09375,0.3,negative,-1
53,20,0,1,undoubtedly field many innovative contribution made work article necessary emphasize strongly computer contribution highlight weakly clear going delved rule business mentioned generically methodological outline,210,0.7351,positive,1,0.3066666666666667,0.7233333333333334,positive,1
54,21,-2,-1,interesting note concern individual care safety best service company provide figure selfexplanatory term explaining component system example tvl board locomotive defined acronym present represent origin source example vhf sm xml gps plc meaningless information said available diagram tool google earth well perhaps allows visualize image combine satellite image map google search engine allowing view image scale specific location route e achieved number conclusion documented said present increase much efficiency indicator obtained bibliography misquoted,556,0.9451,very positive,2,0.17777777777777776,0.325,positive,1
55,21,-2,-1,article present fleet control system integrates various technology complex solution presented integrates different hardware software system presentation describes system level main module train management control sm track authorization fire detector radial change delve solution presented lowcost alternative comparable global benchmark however data provided addition support provided claim made term scale benefit solution see conclusion two preceding section,460,0.8481,positive,1,-0.022222222222222223,0.3055555555555555,negative,-1
56,21,1,-1,article good idea adolescent depth present somberly present review related work propose model network sensor use wording estimated early state investigation lack development example scenario evaluation,201,0.1531,positive,1,0.15999999999999998,0.26,positive,1
57,22,1,0,work proposal made identification risk related software outsourcing process taxonomy designed applied preliminarily organization form validation although form opinion poll strengthen scientific contribution would ideal real application accompanies process outsourcing beginning end order better size real contribution effectiveness proposed taxonomy,349,0.7579,positive,1,0.36,0.5,positive,1
58,22,2,0,interesting review literaturethe proposed taxonomythe case study treated weak addition result expressed rigorous way example percentage graph according format put least keywords must comply required format example use et al text reference leave space paragraph etc reference thesis technical report suggest changing font color figure readability figure really figure text blue figure table identification appearindicates list table corresponds level described table third level appear must say figure table figure must change selection supplier f selection supplier must also change e establishment agreement g establishment contract must use word requirement requirement c verification procedure must change validation environment verification environment procedure validation criterion verification procedure criterion change reference standardization standardization,869,0.1779,positive,1,0.003571428571428575,0.275,positive,1
59,23,2,2,article describes case business innovation support organizational learning process main merit case significant impact achieved modest investment resource addition knowledge emphasized strategic element organization requires concrete action management allocation resource finally impeccable amena drafting case highlighted,321,0.836,positive,1,0.2736111111111111,0.5430555555555555,positive,1
60,23,-1,-1,article describes interesting application field training provides tool great utility company improving learning process worker article identifies advantage type platform delivers company use article adequately define purpose article establishes inception objective make known appropriate purpose investigation article called platform knowledge management however article define theoretical framework appropriate theme relevant author management knowledge process associated article adequately justify literature relevance platform process learning international experience topic section present research methodology selected author rather author describe application component design investigation clearly lacking conclusion article related importance platform company focus result obtained company implement recommendation future study recognition limitation,859,0.9274,very positive,2,0.24761904761904763,0.3517857142857143,positive,1
61,24,2,1,developing research associated topic artificial vision interesting know even condition optimal particularly hardware resource luminosity test section certain disorder presentation result example figure chlorine bottle test titled test box make difficult follow bibliographic reference could current higher level,311,0.4767,positive,1,0.004421768707482994,0.6149659863945578,positive,1
62,24,0,-1,publication deal system reconstruction surface scan using conventional video camera motor laser scheme lowcost system developed advantage limitation proposal think proposed system start interesting premise low cost commercial system type development occasion high cost depending type element used despite simplicity proposed architecture think system upgradeable think lack way go read paper regard use beyond laboratory thats originality originality rated note goodone first weakness found publication introduction seems two problem first problem content general extension talk computer vision general interesting aspect state art matter relevant bibliography general feature said work carried relation subject usually object move millimeter form doubt way reconstructing surface similar work technique different others contribution work use stereo vision perhaps cost similar second problem encountered result first problem trying explain computer vision long little three column general perhaps focused attention state art would see problem technical aspect see approach work controlled environment great change illumination surface scanned object color similar background andor laser beam used subtraction controlled environment work outside doubt system stable believe various method used segmentation could listed text page reference made delved segmentation different method tested method subtraction image selected perhaps would nice take advantage color space rbg yuv etc use distance mahalanobis get sample laser beam several obtain better segmentation laser light presentation found error would good improvefigure figure title think error title figure figure error misleading light projector de underlined b may confuse appears underscore detailspage generates page get better word laser appears untilde occasion review title accompanies page among others,1866,-0.5719,negative,-1,0.1586937830687831,0.43556878306878305,positive,1
63,24,0,0,trained carry review far specialization,39,0.0,Neutral,0,0.1,1.0,positive,1
64,25,2,1,novelty subject dealt make article interesting research good presentation easy read give striking aspect subject despite subject includes two different discipline managed properly synchronize concept way research important brings knowledge initial part work done conclusion recommended author continue work order finish aspect related public health recommendation essential improve quality figure impossible visualize case figure figure figure figure,450,0.9186,very positive,2,0.09111111111111111,0.4933333333333333,positive,1
65,25,1,0,good review trend technology standard could used implementation telemedicine system interesting practical case make sat system possible application ing softwarethe initiative trend show telemedicine describe according section deal article integration interoperability application development general present disarticulation possible consequence clear present abstract found development paper consider title focus tool starting read work idea q contribution review operational level system support process initiative term standard project technology developed purpose title scope content article describes chilean case could initiative trend technology application software engineering field telemedicine represent originality either area technical quality good review describe supported bibliographically current trend technology standard technical writing error proper use acronym case show meaning case well used example ict tic said citation reference text score must deleted number specialist figure significantly improved description trend initiative would give greater value article example one included last section showing representation message different syntax relevant chilean context present interesting proposal different actor government developer company consider order promote area work organization document improved aspect named technical quality well aspect evidence consequence coherence title summary development article likewise spelling writing error avoided give greater value presentation article,1521,0.9836,very positive,2,0.1580357142857143,0.3687499999999999,positive,1
66,26,2,2,good job present integration various technology clear coherent way even though mention future work take account already,119,0.6705,positive,1,0.21666666666666665,0.38472222222222224,positive,1
67,27,-2,-2,paper present important problem formulation practical experience paper deliver description developed system must clearly indicate new knowledge technique solution gained experience consequently paper nature include least following essential elementsan introduction clearly explains purpose work problem solved directly indirectly practical experience b problem important trivial c experience delivered new information within context obtained similar experience theoretical frameworkthe description system mere enumeration component functionality clearly indicate element development provided relevant information study problem conclusion must aligned element introduction must supported evidence provided description system analyzing paper perspective find important problem first introduction clear purpose work part objective mentioned parrado indicated case study empirically demonstrate development cost associated technology shown paper along highlighting main feature potential virtue cakephp mvc appear core element paper second system description differ much system manual essential evidence lacking support element introduction associated development cost time people resource assumed lower another methodology section describing cakephp mvc information relevant problem value work supported evidence directly obtained development experience technology missed comparison similar experience indicating clearly development improvement cakephpmvc introduces finally paper conclusion aligned element indicated introduction deliver information context conclusion irrelevant conclusion others lack evidence support conclusion explicit associating evidence concluded conclusion apart comment paper also requires improvement presentation information example value sql code figure deliver paper explicit figure adequately described person understand command line job well end totally disoriented understand argument put forward reason paper position accepted publication,1970,0.964,very positive,2,0.08064935064935067,0.46787878787878784,positive,1
