,level_0,translate_eng
10,4,"Novel proposal. Well structured. Correctly written. I only suggest: Explain in more detail the trapezoidal function of page 2. Rewrite the paragraph above to the trapezoidal function A (x). Enlarge the scheme of Figure 1. Explain the proposed architecture shown in Figure 2. Review of Feng et al. which is the reference 2 and in a paragraph in column 2 page 1 is marked as reference 1.  Article is not in the format requested by Infonor, please change to this format."
11,4,"The theme is interesting and is well structured as far as the design of the proposal is concerned.  The topic is about an approach to improvement, however it only establishes a proposal of architecture, focusing on the design, and does not indicate how this improvement will be evaluated or measured for the SDW, it is recommended to add metrics or other aspects for it. It does not provide many details, it is recommended to increase the nro. of pages to improve this aspect. There are not many bibliographic references to work or related efforts on the subject."
12,4,"With a high technical profile, it is a contribution to the theme.  Too concise, it could be extended in the as (above all from the fuzzy input)."
13,5,"-Innovative proposal for the application of an industrial engineering methodology, to the field of requirements engineering.  -It does not present unification of terms throughout the document, related to the requirements engineering phase: 'eduction', 'elicitation' ... The same term should always be used. -It is not evident how the gradual 'improvements' of the construction process are quantified, and the 'improvement' in the quality of the documentation ... how do they measure this improvement?? -There are writing and spelling errors, particularly in the use of the accent (tildes) and punctuation signs (use of the comma and semicolon).  The article proposes the use of a working philosophy of another engineering area, to improve the quality levels of the requirements documents generated in a process of qualification education.  I believe that from the technical point of view it would be important to support the analysis of results that they pose in a quantified measurement or comparison, that allows by means of a more formal method than the descriptive one to generate the conclusions of 'improvement' in the quality of the products associated to the process of engineering of requirements.  Is it not evident how they arrive at the generated conclusions, what they are based on to say what is better or not, what has less errors or not??  It is an interesting proposal that can be applied in real cases of requirements engineering processes. It currently contributes to reducing the crisis associated with this phase of software product development.  The organisation of the document can be significantly improved. I consider that they devote much of the article to expressing the associated conceptual framework, and less to the application of the technique in the case of study and to the analysis of results, paragraphs in which the proposal presented can be supported further. Likewise, there are spelling and writing errors that, if avoided, can give greater value to the presentation of the article."
14,5,"Try to apply a new strategy to requirements management. It does not support or consider the applicability of processes of manufacturing processes to software processes. While it is true that there are authors such as Demming who argue that it is possible to do so, there are other authors such as Sommerville who argue that because of the characteristics of software development, the techniques of manufacturing processes are not applicable to software. The authors of this article do not provide support in relation to the validity of this aspect. The article begins by stating that the proposal is to improve the eduction of requirements, however, it is then derived in that what is improved is the generation of the SRS. The construction and the generation of the document of requirements are different aspects. In the case of experimentation that is presented, it is not seen that problems are solved either in the construction or in the generation of the SRS, they are rather problems of implementation. The errors detected are basic aspects that any programmer with a minimum of experience knows how to solve them, without the need for the SRS to explain the type of minimum validations to be performed as part of the system tests. The proposal lacks practical guidelines to help in its implementation, how should these POKA-YOKE reviews be carried out? In what ways should we look? Are there artifacts to guide the review? There are editing errors in the text (repeated words) There are spelling problems (word accentuation)"
15,5,"Good practice to ensure quality in requirements eduction-Summary is poorly worded, there should be no theoretical explanations-The translation of the summary is lousy-The article is not written in third person-The POKA YOKE Section should go before the section VARIABILITY OF REQUIREMENTS AND COST OF QUALITY. -There are several spelling errors"
16,6,"The article details a proposal for requirements management based on KAIZEN. The authors describe different methods and techniques to complement Kaizen I understand that the main contribution of this work is, according to the authors, to complement and improve Kaizen for the elicitation and management of requirements. However, the authors of the article present only a theoretical construction of their proposal.  I understand that the article lacks work to be done, in order to validate the proposal. However, as an article developed by six researchers, I believe that it should include more practical aspects of the proposal."
17,6,"Interesting work.  Although the document shows a proposal, it would be interesting to show applications."
18,7,"The paper describes an experience concerning the automated inspection of spectra for the Pipeline Hubble Legacy Archive Grism data.  Comments: In the conclusions the authors say that "" We have identified two classes of weak spectra which were not picked up by the automatic classification because of their very small number of training samples. Per construction machine learning techniques can not classify such outliers. "" This sentence should be further explained. As Hastie, Tibshirani, and Friedman say in The Elements of Statistical Learning (see Chapter 7): ""it is too difficult to give a general rule on how much training data is enough; among other things, this depends on the signal-to-noise ratio of the underlying function, and the complexity of the models being fit to the data."" So, by just saying that the number of training samples is small you do not provide enough information to decide whether machine learning techniques are adequate or not to solve a problem.  Other minor comments: + If reference [2] has not yet been written or published it should be deleted from the paper.  The dataset may be of scientific importance.  It is mainly descriptive."
19,7,"This manuscript addresses an interesting solution based in machine learning techniques to classify spectra legacy data of the Hubble Space Telescope in order to publish the results and ""good"" spectra in Internet to scientific community. The manuscript is well-written and results are robust. Experiment is sound and the manuscript seems acceptable in the current form. The work can be short, but very interesting to the Infonor and JCC community.  The main problem of the paper is that it is difficult to compare results for the classifiers used. A confusion matrix and parameters for each classifier could clarify results."
20,7,"Interesting application domain.  Nothing new from a machine learning perspective. They authors should provide more information about the models they have obtained with the different classifiers (feature subset selection used, selected features, accurate, statistical significance on the differences on accurate, the models themselves, ...). Semi-supervised classification is the appropriate method for the last paragraph in the ""Methodology"" section."
21,8,"This paper presents a tool (SAVE) for software architecture verification. SAVE performs a static check of rules associated with permitted and prohibited dependencies between elements of the design and the code, and allows to deliver a report on the consistency between the two levels with respect to said rules.  Overall the tool seems quite powerful for two reasons: the use of simple rules and the inclusion of pre-defined rule sets for wide-use design patterns. This, in my view, is the most important difference with other similar frameworks.  The wording is, in some places, unobjective. In particular I would suggest avoiding the excessive use of adjectives for which no evidence is provided that supports them. For example, in several places I noticed the use of ""powerful tool"", ""intuitive tool"" or the like (not only referring to SAVE, but other works). In all such cases, there is no explicit provision of evidence to support the use of such adjectives.  Another detail that requires fix is the title that appears in the PDF file: ""Preaching behavior dynamics ..."", which does not match the paper title. The authors probably used a template of a previous paper with that title."
22,8,"The verification of the architecture of a software product can be a great contribution to the quality of the software. Therefore, any tool that facilitates this work is a contribution to the software engineering. They present evidence of a prior review of alternative or complementary methods and tools to the proposal. The descriptions presented are accompanied by clarifying examples.  The role and interaction of the domain expert is unclear. In the initial sections it says that the tool performs static and dynamic analysis, however at the end of the article, in the identification of possible improvements of SAVE it is proposed to include the dynamic analysis, which contradicts with the initial affirmation. The description of the operation of the tool is not clear enough. The quality of the figures is not adequate, for the size and resolution of the figures it is not possible to appreciate the details well. Article wording can be improved. There are several phrases where connectors are missing, for example ""In this section, we will see S.A.V.E. manages to recover the existing dependencies in the source code ...."" Many errors in the accentuation of words."
23,9,"New proposal, highly valuable the linking of people from the business scope that allows the theory and proposals for software engineering to be tested in real environments. Well structured and very well drafted.  I only suggest scheming the activities of the White Belt IR-SixSigma training app and reviewing small drafting details."
24,9,Good practice for better quality in requirements engineering-In the abstract there should be no theory-There should be a case study to better see the application of the methodology
25,10,Interesting proposal in a software development environment that is quite poor in methodological aspects of development.  There is a lack of related work or perhaps better discussion in the introduction with references to substantiate the interesting proposal. Review wording. It is not in order by Infonor. It is suggested not to add links of web pages in the text of the article.
26,10,"The authors have designed a methodology to develop software to support scientific research projects. They accurately identify the differences between the development of research software and software for commercial purposes. They also propose a methodology following a approach of agile methods of software development.  The proposal is in a design phase, has been elaborated from interviews with potential users and is likely to be tested in future research.  In my opinion, the article requires a paragraph that takes into account the methodology that the authors have followed in order to reach the proposal. Reference is made to interviews with: ""participants in this type of project"", however, it is not reported how many people were consulted, how the interviewees were selected, what instruments were applied and how the data were analyzed."
27,10,"I consider, first of all, that the area of development of the subject (development of software in research environments ...) does not ""grant permission"" to carry out this development more informally (times, relax in versions, scarce documentation, etc.). 2nd, I do not see why it is only SCRUM, without making basic comparisons with the other ""classic"" exponents of agile methodologies (XP and FDD), which gives a certain ""light"" to the initial analysis of the authors (without doubt one could delve a little more, especially with XP)."
28,11,"It is an article that presents a novel theme in the area of Software Engineering. The article is well documented and well-founded. The technologies used in the development of the prototype are of current interest.  As described in the article, this is a first step in a line of research and development of a prototype of a meta-case application. There remains this sense, unclear what the current level of maturity is, both of the research and the application developed."
29,11,"This paper presents a software tool that is useful in the context of software engineering. The authors do a good job describing the technical details of the tool. However, there is little information about the novel aspects of the proposed tool, How the proposal compares to other existing tools (if any)?"
30,11,"A very clear, precise and high-level work"
31,12,"The article presents the design of a prototype that implements a system for the acquisition of data by wireless mobile devices, applied to mining, specifically in the monitoring of particulate matter. The application of the mobile technology to a particular problem of the Chilean mining industry is interesting, as well as the article describes the problematic and the proposed prototype very clearly.  The article is novel because the use of computing (data processing) and mobile device technologies applied to a particular problem of the Chilean mining industry.  The problem, the technology presented (BUG) and the proposed prototype are clearly described.  The application of current mobile computing technologies in important industrial sectors of the country is relevant.  The main title and the summary must be written in Spanish and English (only come in Spanish). In addition, the article presents a list of 29 references, but only references one (the first in the list). It even appears in the PCFactory References, and it is not very clear why."
32,12,It considers the use of mobile technologies to incorporate in the measurement of particulate matter that exists inside a mine. It will be interesting to see the advantages and disadvantages of this application with existing ones.  It's a study only. There are no results yet.
33,13,"We appreciate an extensive work that is valued, however several inconsistencies are observed throughout the work.  It is observed on page 4 Figure 1 the indication of a conceptual model being this of the snowflake type, however the correct thing would be to indicate that it is a scheme of logical design and not of conceptual design of DW. In addition, a correct conceptual scheme should not indicate the type of data. Also in this aspect is a reference to a star schema bibliography. There was no research on conceptual models for DW to avoid the above.  A lot of redundancy in technical problems that should not be of importance to the article.  There is talk of business intelligence but in a strict sense if you apply business intelligence you need an ""expert"" analyst who is able to make decisions with the trends found in the study, which is not presented in the article.  Related job references are missing, as only books are referenced. A review to related works would have been very useful in the sense of structuring the article better.  There are methodologies to schematize the ETL process that would have improved this aspect described in the article."
34,13,The article presents the process of constructing a data warehouse to implement OLAP on data for the exploitation of marine resources on the coasts of Chile.  The problem is clearly defined and has relevant practical application for the country.  The work presented corresponds to a case of very complete and well documented use of well known data mining techniques.  The ABSTRACT must be edited to represent an appropriate and readable translation of the SUMMARY.  The original contribution of the work is not evident.  The original conclusions of the article are related to the domain of the application (statistics of the exploitation of marine resources) and not to topics relevant to the conference.  Missing information in the literature should be completed.
35,13,"The article presents the development of a solution to the problem of analyzing trends in the landing of marine species on the Chilean coastal edge, using business intelligence tools.  (a) aspects of form 1. The English version of the title and the summary of the article contains grammatical, editorial, and style errors.  2. Use of capital letters: Chile -- > Chile national fishing service -- > National Kettle Fishing Service -- > Kettle table 1 -- > Table 1 api -- > API etc.  3. Figure 2 is not referenced This figure shows -- > Figure 10 shows 4. paragraph after Figure 1 is written in 1 column. must be in 2 columns 5. format does not fully match the Infonor format.  (b) substantive aspects 1. The article does not report research results. This is an application of BI techniques to provide data-line analysis support.  2. It is weak in terms of background of processes and techniques used. Although 12 references are listed, only 2 or 3 of them are quoted repeatedly. There is no review of related jobs (BI application cases.) 3. Given the orientation of the article, the (potential) use of the results should be further detailed. In this sense, there must be greater and better interpretation/evaluation by the users of the analysis of the information."
36,14,"The present paper performs a categorization of ways to integrate business rules into a design using the aspect-oriented paradigm and proposes a template of documentation for business rules based on such categorization.  The paper delivers useful information about the particular problem, as well as a reasonable categorization of different aspects in this problem. It's a good starting point for an investigation on that line.  Although the information given in the paper is of the utmost importance for an investigation in this matter, it is insufficient to accept it as a complete and self-contained work. The reason is that the paper focuses on identifying problems and proposing an artifact (the template) that should solve these problems. However, it does not present evidence of why this template is a good alternative for solving these problems. This requires the elements mentioned in future work, specifically the formal specification and the automatic tool to create templates and map them to AOP.  My suggestion is to wait for these items to be ready to complete this paper and send it to a new conference."
37,14,"The work presents a viable alternative to solving the problem of changing business rules.  It can be improved by adding some more background to the topic of aspects, since a prior knowledge of this topic is assumed, so the paper is not self-contained."
38,14,"The work presents a methodology to address the complexity of implementing business rules without making changes to the base functionality of a system.  It proposes a clear methodology based on documentation using templates to manage and analyze the impact of performing the implementation of a business rule via orientation to the aspect.  The reasons presented to indicate that the OA approach to encapsulate the connection between business rules and base functionality is not a trivial task, they are general and should be addressed in greater depth.  It does not provide formal evidence that the use of the proposed templates specifically resolves a problem.  It is suggested to present a problem solved by means of the tool that is in development that automatically handles the templates. Failing that, demonstrate the application to a specific problem."
39,15,"It is an article that presents an interesting diagnosis of the software development companies of Chile. They incorporate an initial statistical base that gives formality to the work done, specifically for the determination of the base sample for the development of the surveys. However, the statistical data of the results are not part of the work presented.  Presentation of statistical results that validate the conclusions presented and the findings found, about the diagnosis.  The authors are recommended to continue in the work in order to incorporate the statistical bases in the companies of the sector in other countries.  Other recommendations: A thorough review of English and in particular for the presentation of an article, the translation of this language should be carefully reviewed. Particularly review the title, where there is an error in the first word."
40,16,"The development of a prototype for an automatic software requirement allocation tool among developers is presented. This tool can be very useful for software development teams. It is a question of making a contribution through this tool to the quality of the developed products.  It is not explained what heuristic is used for the assignment of requirements to programmers. No study of the existing requirements management tools is presented, where it is demonstrated that there are no alternative tools to the one presented. And if there are alternatives, justify why develop a new one. The functionality of the tool is not clearly explained. There is no evidence of the improvement of the process by including this tool, it is only said in the conclusions that ""the change in the quality of the process is perceptible"". The bibliographic references used are mostly web pages, no bibliographic review is noted in specialized databases. The figures are not distinguished well. Bibliographic references do not comply with the established format. You must write in third person."
41,16,"-A novel requirements planning proposal for a software factory, as a contribution towards improving the quality of projects.  -Although the title of the article is oriented towards the 'planning of requirements', this point is only addressed again when they narrate how they implemented the prototype. -They do not include a conceptual basis to support the role played by the requirements administration in the software development process and particularly in the quality assurance of the process. -It is not evidenced as with a contribution in the automatic planning of the requirements for the software factory, this will allow it to reduce its development times (estimated vs real) and therefore to ensure a higher quality. -The relationship that exists between the proposal that it makes in the framework of CMMI is not very clear.  The article proposes a model of requirements planning, supported by an automatic tool.  The prototype they propose is interesting and relevant. I think it can better organize the model and method that they propose associated with it, which in reality is the real contribution of the authors. I believe that from the technical point of view it would be important that the analysis of results that they raise with the case of the study of the bank, be done by means of a quantitative interpretation or comparison, that it really shows that with this automatic planning is really improving the quality of the process and/or at least the estimate and actual execution of times of development will be less, scenario that according to antecedents has already been justified in its direct relation with the quality.  It is an interesting proposal that can be applied in real cases of requirements engineering management processes. Currently, it will contribute to the reduction of the times associated with this phase of development of software products, and consequently to the quality of the process. Considering that the Engineering of Requirements has so many problematic causes and actions, that generate software crisis and therefore an affectation in quality management, it remains as an open question that really a contribution towards the 'planning' of the requirement has a considerable effect, with respect to other causes or crucial points such as the 'prioritization of requirements', the validation and/or its traceability as such.  The organization of the document can improve in the following aspects:-Some of the figures that are included are not necessary, because they do not really contribute anything additional of what is described in the text, besides that they visually do not say much. -In the section of 'Design of APARD' they name many aspects of technical order characteristic of the factories of reference software, that do not give greater weight to the intention of the article, nor are giving really influential data for the application. -You can optimize the quality of the figures (mainly those that show the internal components of the algorithm and the actions of use of the system-profiles, because they are the ones that show the greatest contribution). -There are several drafting errors that should be reviewed (p. example: use of 'on the basis of', should be changed to 'based on'; 'is used', by 'is used' ..)"
42,16,"-The APARD tool-The theme associated with requirements and software factory is interesting-Is not detailed the practical case that considers the APARD use with its advantages and limitations-The section that explains the implementation of the APARD solution should be improved-Improve conclusions-The presentation: with spelling and writing errors, written in first person, figures with very small letters, white letters in figures make it unreadable, written references in different form, etc. -It is recommended not to use Wikipedia as a reference for a scientific article. -Missing author in references 6, missing topic name in reference 13-Reference 7 is written with author differently than others and with title before author. -Change ""Keywords"" to ""Keywords"". -According to format, put at least 5 keywords. -It puts reference in another format, example, Greenfield and Short (2003)-There is a lot of detail of technologies and tools and products detailed in the Technology Specification section of APARD-What does IQNET [z] mean? -I suggest putting in Introduction the sections that make up the paper."
43,17,"The topic of the article is novel and necessary in the literature of process modeling. Work in general presents a poor development in the theoretical. In order to bring about the comparison between process modeling techniques, a methodology must be constructed that effectively shows the advantages of one method over the other.  The comparison made between the methods should be presented for a general case, since nowhere does the methodology explain what is going to be applied to a particular situation.  The methodology of the article does not adequately explain the way in which the comparison was developed, it only exposes the decision criteria used in its construction, which does not allow to properly evaluate the results obtained.  The research question and the objectives of the study are not clearly set out."
44,17,"Justification: It is a work that does not have much novelty, it is a subject that has been studied quite a lot, especially the graphic models. These concepts are built into the CASE tools, even though the document does not present in depth. Perhaps a greater contribution would have been to investigate the formal methods and to extend the comparative analysis of methods."
45,18,"This paper is very interesting, I like the idea, and to make it a work publishable in venue reaching a wider international audience it is necessary to validate the proposed ideas through extensive experience with current data and users, please go ahead."
46,18,"This paper proposes a new approach to support the prioritization of requirements through a process of transformation of Use Cases in a dependency graph through the application of IR techniques, Bayesian networks and domain expert assessment. The approach is presented as an interesting input for the prioritization of requirements and shows its application to a real case. The document is well written and very well supported by references. The results are robust according to the approach used and well-routed future work is presented.  Some typographical or editorial errors can be found on page 5 (paragraph 1 and 2). Confusion over the use of k and K on page 5 (or typo). It may not be clear to use the knowledge of the prioritization made in the test base case with respect to the one performed semi-automatically by its approach, except that the expert's knowledge is used. Perhaps an objective comparison between the two prioritizations would be adequate."
47,18,"From the point of view of Bayesian networks, the work does nothing more than a direct application of the implementation in Genie of the algorithm K2 (Cooper and Hervokits, 1992). It is not clear to use the potentiality of this probabilistic graphic model at the level of inference or classification. The references included in the list must be refined (it does not make sense to include references from the '90s in which the' sent ' label appears)."
48,19,"The issue is topical and the third mission is being recreated through the proposal. I find it meritorious and interesting, in addition to the multiplier effect that this entails for businesses and universities in addressing real problems, with real 'people'.  Defined Acronyms do not present or represent their origin or source. For example, FCAB, says the company of Railways, but does not conform to the reality, because it should be the Railways of Antofagasta. And so with others, such as CMM, HPC, AMPL, that lack meaning.  The theme of the proposal is not clearly discussed in its context, nor the contributions and/or innovations in contrast to other proposals of the same nature that could be cited in references, bibliography, papers or articles, where they may well give or deliver some considerations on the state of the art of the problem. This could be done either in the introduction or in the presentation of the problem.  Lack of clarity in the form of expression or in the definition. I mean, for example, ""normal diagram"", ""normal diagram problem"" and ""NxN diagram problem"". (in the latter at least one example is mentioned.), ""balanced diagram model"", among others.  Many value judgments are made without having the backing for it. I mean that there is textual mention ... ""this algorithm is of slow convergence ..."" ""... the commercial systems and many free systems in the Web......use heuristic techniques, in order to make it efficient."" ""Slow"", in what sense?, since there is a lattice of possibilities that could justify such a judgment, which it refers to? ""commercial systems"", to which one does it refer? ""free systems"" refers to FOSS systems (Free and open source software)? ""heuristic techniques"", which of the aforementioned use this technique?. ""make it more efficient,"" just like before, in what sense, make it more efficient.?. If so, it is not right now?  It is not necessary to substantiate and support such judgments with works and/or bibliographic references, for example.  There is talk of a graph, which would be representing the problem. There are so many modeling tools, which pity that a particular graphic model is not present or displayed.  The format of the input files, and/or transformations to be suffered by these files to feed the AMPL files in the process of Reading/Transforming data to AMPL, is unknown. Similarly, for when you retrieve it in AMPL format and translate it into XML format. The use of the Domain-Specific Language (DSL) would be a plausible solution?  Why SSH?, what study does such a decision endorse??? How is authentication performed? what method does it use? Authentication via password, card, voice, etc. ..  Reference is made to a number of classic books, which do not correlate with the presentation, nor with the context of the proposal. Very generic. I could be more specific about why I quote these books. In addition, the link (numbering) to the references is not mentioned in the proposal.  It lacks conclusions, or acknowledgments. I imagine that FCAB facilitated the infrastructure and the problematic.  It lacks links to the portals of the tools they used or used. For example. http://www.ampl.com http://www.ampl.com, http://www.openssh.com/, among others."
49,19,"An optimization model is presented with train crew allocation restrictions and their implementation in Java.  The problem is clearly defined and has practical implementation.  The proposed solution seems appropriate.  The extremely short presentation (two pages of content) does not allow the evaluation of the technical quality or the relevance of the work.  There is no discussion of related work or the contributions of the work itself.  No details of the model, software, or experimental results are provided."
50,19,"It's a good topic for congress. Presents a Good Proposal for Bind Work It's drafted as an extended abstract, it should be re-written to be definitively accepted for congress. There are no references and the ones that put in the end are poor. By filing should be punished"
51,20,"The theme is of vital actuality, feasible to realize (evidence of that is given) and the execution of the ""third mission"" is recreated at the same time through the proposal. I find it meritorious and interesting the multiplier effect that this has had, by incorporating the actors into the proposal.  Specifically, I mean companies or SMEs, universities and institutes (students), INDAP, in addressing real problems, with real ""people"".  The proposal manages to present a dynamic, in this case, of the agricultural society, which will leverage knowledge management. An interesting derivative of the proposal is that it has served to identify the opportunities that exist in the Region and its surroundings, in the light of the actions that are being exercised in order to obtain even more of them, specifically I mean the University, governmental entities and society.  Lack of international references to the standards (if any?) that they wish to achieve in this field. It is committed to improving the ""profitability of small producers"", but it is not said how, since only the incorporation of technology is not enough."
